job,status,customer,order_date,part_number,description,rev,order_quantity,unit_price,total_price,net_shipped,order_unit,price_uom,sales_rep,customer_line2,job_revision
19-070,Complete,KEMIRAWS,2019-08-02T00:00:00,OXIDIZER VESSEL,OXIDIZER VESSEL,,1,288750.00,288750.00,1,ea,ea,,4502231108,
19-071,Complete,INTEPAPEPW,2019-08-05T00:00:00,CARBON STEEL NUTRIENT STORAGE,CARBON STEEL NUTRIENT STORAGE,,1,82900.00,82900.00,3,ea,ea,,13492170,
19-072,Complete,INTEPAPEPW,2019-08-05T00:00:00,BELT PRESS SLUDGE BLEND TK,BELT PRESS SLUDGE BLEND TK,,1,83300.00,83300.00,2,ea,ea,,13492170,
19-073,Complete,INTEPAPEPW,2019-08-05T00:00:00,SS SULFURIC ACID TANK,SS SULFURIC ACID TANK,,1,102400.00,102400.00,2,ea,ea,,13492170,
19-074,Complete,PINOVAIN,2019-08-20T00:00:00,"6,000 GAL W-TANK T-38","6,000 GAL W-TANK T-38",,1,39000.00,39000.00,1,ea,ea,,4501359720,
19-075,Complete,ALLNEXUS,2019-07-21T00:00:00,BULK STORAGE SILO,BULK STORAGE SILO,,1,211225.00,211225.00,2,ea,ea,,4500378898/450039917,
19-076,Complete,AMBIOPHARM,2019-08-21T00:00:00,ACETRONITRILE TANK,ACETRONITRILE TANK,,1,53825.00,53825.00,1,ea,ea,,FC1894,
19-077,Complete,AMBIOPHARM,2019-08-21T00:00:00,ACETRONITRILE TK W CATWALK,ACETRONITRILE TK W CATWALK,,1,57775.00,57775.00,1,ea,ea,,FC1894,
19-078,Complete,IRVCPROD,2019-08-23T00:00:00,MANWAY FIELD REPAIR-RESIN TANK,MANWAY FIELD REPAIR-RESIN TANK,,1,19200.00,19200.00,0,ea,ea,,20434801 OP,
19-079,Complete,ANDRITZI,2019-08-27T00:00:00,DISSOVLING TANK IN 2205,DISSOLVING TANK IN 2205,,1,432750.00,432750.00,4,ea,ea,,4502651949,
19-080,Complete,PCSPHOSP,2019-08-27T00:00:00,T2203 VSEP FEED TANK A,T2203 VSEP FEED TANK A,,1,60075.00,60075.00,1,ea,ea,,2101119348,
