job,part_number,customer,make_quantity,labor_hrs,labor_setup,labor_run,ot_hrs,ot_setup,ot_run,scrap_qty,scrap_run,scrap_setup
18-037,"13,500 GAL SST API 650 TANK",WESTROCK,1,81.25,0.00,81.25,19.00,0.00,19.00,0.00,0.00,0.00
18-038,28' DISSOLVING TANK,ANDRITZI,1,462.75,0.00,462.75,122.75,0.00,122.75,0.00,0.00,0.00
18-040,7000 GAL CST TANK WITH L/H/P,ZACHGROU,1,52.00,0.00,52.00,9.00,0.00,9.00,0.00,0.00,0.00
18-041,"1,675 GAL 2205 API 650 TANK",DOMTPAPE,1,139.75,0.00,139.75,18.50,0.00,18.50,0.00,0.00,0.00
18-042,"20,000 GAL SST ASME TANK",S&STECHN,1,110.50,0.00,110.50,28.75,0.00,28.75,0.00,0.00,0.00
18-043,MEE EVAPORATION VESSEL,ROSENBLAD,1,233.50,0.00,233.50,101.00,0.00,101.00,0.00,0.00,0.00
18-045,16000 GAL 316 SST API 650 TANK,INTESPAP,1,59.50,0.00,59.50,20.00,0.00,20.00,0.00,0.00,0.00
18-046,9000 GAL SST API 650 TANK,PCSPHOSP,1,81.00,0.00,81.00,1.50,0.00,1.50,0.00,0.00,0.00
18-047,"2,800 GAL SST TANK",USSUGARC,1,25.50,0.00,25.50,8.50,0.00,8.50,0.00,0.00,0.00
18-048,"16,000 GAL ASME CARBON STEEL P",ONEACONS,1,72.00,0.00,72.00,22.50,0.00,22.50,0.00,0.00,0.00
18-049,"30,000 GAL API 650 SST W/LDR",ONEACONS,1,89.50,0.00,89.50,40.50,0.00,40.50,0.00,0.00,0.00
18-050,"30,000 GAL API 650 SST W/LDR",ONEACONS,1,77.50,0.00,77.50,12.50,0.00,12.50,0.00,0.00,0.00
18-051,"30,000 GAL API 650 SST W/0 LDR",ONEACONS,1,72.50,0.00,72.50,25.50,0.00,25.50,0.00,0.00,0.00
18-052,"30,000 GAL API 650 SST W/O LDR",ONEACONS,1,127.00,0.00,127.00,20.50,0.00,20.50,0.00,0.00,0.00
18-053,"30,000 GAL API 650 SST W/0 LDR",ONEACONS,1,70.75,0.00,70.75,11.50,0.00,11.50,0.00,0.00,0.00
18-054,"30,000 GAL API 650 SST W/O LDR",ONEACONS,1,65.75,0.00,65.75,20.50,0.00,20.50,0.00,0.00,0.00
18-056,STYRENE STORAGE TANK,ONEACONS,1,191.00,0.00,191.00,21.50,0.00,21.50,0.00,0.00,0.00
18-057,950 GAL SS API 650 TANK,S&STECHN,1,22.00,0.00,22.00,14.00,0.00,14.00,0.00,0.00,0.00
18-058,DISPERSER PURGE TANK,VENATOR,1,3.00,0.00,3.00,6.50,0.00,6.50,0.00,0.00,0.00
18-059,SCREEN DISCHARGE COLLECTION TK,VENATOR,1,11.00,0.00,11.00,1.00,0.00,1.00,0.00,0.00,0.00
18-061,"7,000 GAL SST OPEN TOP TANK",BULKCHEM,1,26.50,0.00,26.50,0.00,0.00,0.00,0.00,0.00,0.00
18-062,ETP DAF SLUDGE BUFFER TANK,IRVCPROD,1,30.75,0.00,30.75,2.50,0.00,2.50,0.00,0.00,0.00
18-063,TREATED EFFLUENT RECYCLE TANK,IRVCPROD,1,70.25,0.00,70.25,2.50,0.00,2.50,0.00,0.00,0.00
18-064,GLUE SEPARATOR SEAL POT,IRVCPROD,1,32.50,0.00,32.50,0.00,0.00,0.00,0.00,0.00,0.00
18-065,DUMP CHEST TM12,KIMCLARK,1,243.00,0.00,243.00,1.50,0.00,1.50,0.00,0.00,0.00
18-066,DUMP CHEST TM17,KIMCLARK,1,229.50,0.00,229.50,0.00,0.00,0.00,0.00,0.00,0.00
18-067,DUMP CHEST TM18,KIMCLARK,1,208.50,0.00,208.50,0.00,0.00,0.00,0.00,0.00,0.00
18-068,PULPER WATER TANK,KIMCLARK,1,212.50,0.00,212.50,0.00,0.00,0.00,0.00,0.00,0.00
18-070,850 GAL ASME CST TANK,STAMTEC,1,37.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00
18-071,"20,000 GAL SST TANK",SOLVSPEC,1,152.00,0.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00
18-072,300 GAL SST JACKETED TANK,SOLVSPEC,1,104.50,0.00,104.50,0.00,0.00,0.00,0.00,0.00,0.00
18-074,"40,000 GAL STORAGE TANK",USSUGARC,1,101.50,0.00,101.50,0.00,0.00,0.00,0.00,0.00,0.00
18-075,"40,000 GAL STORAGE TANK",USSUGARC,1,77.50,0.00,77.50,0.00,0.00,0.00,0.00,0.00,0.00
18-076,"T-205 1,500 GAL TANK",ONEACONS,1,78.75,0.00,78.75,0.00,0.00,0.00,0.00,0.00,0.00
18-077,"T-207 2,000 GAL TANK",ONEACONS,1,98.75,0.00,98.75,0.00,0.00,0.00,0.00,0.00,0.00
18-078,"T-206 3,000 GAL TANK",ONEACONS,1,57.25,0.00,57.25,4.50,0.00,4.50,0.00,0.00,0.00
18-079,T-203 600 GAL TANK,ONEACONS,1,42.50,0.00,42.50,0.00,0.00,0.00,0.00,0.00,0.00
18-080,450 GAL CST TANK,HALOPROD,1,67.50,0.00,67.50,0.00,0.00,0.00,0.00,0.00,0.00
18-081,24' DISSOLVING TANK,ANDRITZI,1,377.75,7.00,370.75,37.00,0.00,37.00,0.00,0.00,0.00
18-082,24' DISSOLVING TANK,ANDRITZI,1,344.75,0.00,344.75,49.50,0.00,49.50,0.00,0.00,0.00
18-084,ROLL 310 SS CYLINDER,GARRMACH,1,30.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00
18-085,"1,000 GAL C276 TANK",MILLIKEN,1,301.75,0.00,301.75,0.00,0.00,0.00,0.00,0.00,0.00
18-086,2500 GAL CST API TANK,PCSPHOSP,1,88.00,0.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00
18-087,EFFLUENT TROUGH,IRVCPROD,1,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
18-088,"3,000 GAL SLUDGE DECANT TANK",MIDAENVI,1,27.75,0.00,27.75,6.00,0.00,6.00,0.00,0.00,0.00
18-089,"3,000 GAL AERATION TANK",MIDAENVI,1,41.75,0.00,41.75,0.00,0.00,0.00,0.00,0.00,0.00
18-090,IE HOTWELL,FUJIVEGE,1,120.50,0.00,120.50,0.00,0.00,0.00,0.00,0.00,0.00
18-091,COOLING TOWER BASIN,FUJIVEGE,1,14.00,0.00,14.00,7.00,0.00,7.00,0.00,0.00,0.00
18-092,"20,000 GAL SST STORAGE TANK",MILLIKEN,1,119.75,0.00,119.75,0.00,0.00,0.00,0.00,0.00,0.00
19-001,"34,500 GAL CST API TANK",REAGCHEM,1,232.00,0.00,232.00,0.00,0.00,0.00,0.00,0.00,0.00
19-002,"34,500 GAL CST API TANK",REAGCHEM,1,195.50,0.00,195.50,0.00,0.00,0.00,0.00,0.00,0.00
19-003,"48"" BOLTED MANWAY W/WEARPLATE",FLOQENGI,1,21.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00
19-004,ALLOY 20  REPAIR/HEAD REPLACE,HALOPROD,1,41.50,0.00,41.50,0.00,0.00,0.00,0.00,0.00,0.00
19-005,HYRDO TEST,COASAIRC,1,1.50,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00
19-006,"15,000 GAL PROCESS TANK",BCRENVIR,1,113.00,0.00,113.00,0.00,0.00,0.00,0.00,0.00,0.00
19-007,"15,000 GAL PROCESS TANK",BCRENVIR,1,105.25,0.00,105.25,0.00,0.00,0.00,0.00,0.00,0.00
19-008,SST N20 REACTOR,SALOFLTD,1,239.25,0.00,239.25,32.25,0.00,32.25,0.00,0.00,0.00
19-009,6000 GAL CST API TANK,SFCCONTR,1,38.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00
19-010,BOTTOMS RECEIVER TANK T-205,PINOVAIN,1,122.50,0.00,122.50,0.00,0.00,0.00,0.00,0.00,0.00
