job,part_number,customer,make_quantity,labor_hrs,labor_setup,labor_run,ot_hrs,ot_setup,ot_run,scrap_qty,scrap_run,scrap_setup
16-045,"16"" HIGH PRESSURE STEAM HEADER",SYS-CON,1,24.75,0.00,24.75,5.00,0.00,5.00,0.00,0.00,0.00
16-046,"12"" LOW PRESSURE STEAM HEADER",SYS-CON,1,46.75,0.00,46.75,10.00,0.00,10.00,0.00,0.00,0.00
16-047,"16"" AIR HEADER",SYS-CON,1,17.25,0.00,17.25,3.00,0.00,3.00,0.00,0.00,0.00
16-048,CODE REPAIR,HALOPROD,1,11.75,0.00,11.75,1.00,0.00,1.00,0.00,0.00,0.00
16-049,CLOUDY FILTRATE TANK,M3CONSTR,1,105.00,0.00,105.00,7.00,0.00,7.00,0.00,0.00,0.00
16-050,CLEAR FILTRATE TANK,M3CONSTR,1,101.50,0.00,101.50,30.00,0.00,30.00,0.00,0.00,0.00
16-052,RESIN TANK 4,ONEACONS,1,24.00,0.00,24.00,5.00,0.00,5.00,0.00,0.00,0.00
16-053,DAY BIN 304 SS,ONEACONS,1,73.00,0.00,73.00,0.00,0.00,0.00,0.00,0.00,0.00
16-055,ROLL PLATE,MASTSTEE,1,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
16-056,MANWAY COVER,USMECHAN,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
16-057,CANCELLED - SS ONLY,DUSTEXCO,1,3.50,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00
16-058,CS 20000 GAL AQUEOUS AMMONIA,DUSTEXCO,1,60.50,0.00,60.50,20.00,0.00,20.00,0.00,0.00,0.00
16-059,POLYMER BLEND TANK,FLOQENGI,1,95.50,0.00,95.50,12.75,0.00,12.75,0.00,0.00,0.00
16-060,POLYMER BLEND TANK,FLOQENGI,1,100.00,0.00,100.00,22.75,0.00,22.75,0.00,0.00,0.00
16-061,HYDROPNEUMATIC TANK,CLAYCOUN,1,159.75,0.00,159.75,13.50,0.00,13.50,0.00,0.00,0.00
16-062,AIR TANK REPAIR,TOMCLAY,1,3.50,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00
16-063,WATER RECLAMATION TANK,GPALABRI,1,49.00,0.00,49.00,20.50,0.00,20.50,0.00,0.00,0.00
16-064,20000 GAL CS AQUEOUS AMMONIA,DUSTEXCO,1,61.50,0.00,61.50,14.00,0.00,14.00,0.00,0.00,0.00
16-065,20000 GAL CS AQUEOUS AMMONIA,DUSTEXCO,1,64.00,0.00,64.00,27.00,0.00,27.00,0.00,0.00,0.00
16-066,CODE REPAIR,HALOPROD,1,20.00,0.00,20.00,3.50,0.00,3.50,0.00,0.00,0.00
16-067,R-12 VACUUM RECEIVER,ALLNEXUS,1,24.50,0.00,24.50,0.00,0.00,0.00,0.00,0.00,0.00
16-068,BURN PLATE,GILBINDU,1,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
16-069,RESIDUE DECANTER T-607E,INTEFLAV,1,120.25,0.00,120.25,40.00,0.00,40.00,0.00,0.00,0.00
16-070,R2 SOLIDS CHARGE FUNNEL V TANK,ALLNEXUS,1,48.00,0.00,48.00,11.50,0.00,11.50,0.00,0.00,0.00
16-071,"10'-0"" ID X 12'-1-5/8"" SHELL",AZZSMS11,1,68.25,0.00,68.25,24.00,0.00,24.00,0.00,0.00,0.00
16-072,HVLC COLLECTION-INCINERATION,GEORPACI,1,9.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00
16-073,FATTY ACID STORAGE TANK T-251,ARIZCHEM,1,184.00,0.00,184.00,43.00,0.00,43.00,0.00,0.00,0.00
16-074,FATTY ACID STORAGE TANK T-251,ARIZCHEM,1,160.00,0.00,160.00,36.50,0.00,36.50,0.00,0.00,0.00
16-075,FATTY ACID STORAGE TANK T-251,ARIZCHEM,1,113.50,0.00,113.50,42.50,0.00,42.50,0.00,0.00,0.00
16-076,FATTY ACID STORAGE TANK T-251,ARIZCHEM,1,85.00,0.00,85.00,36.00,0.00,36.00,0.00,0.00,0.00
16-077,"STORAGE TANK 35,000 GAL",ALLIUNIV,1,73.50,0.00,73.50,18.50,0.00,18.50,0.00,0.00,0.00
16-078,"STORAGE TANK 35,000 GAL",ALLIUNIV,1,90.75,0.00,90.75,25.50,0.00,25.50,0.00,0.00,0.00
16-079,"STORAGE TANK 35,000 GAL",ALLIUNIV,1,70.25,0.00,70.25,29.50,0.00,29.50,0.00,0.00,0.00
16-080,"STORAGE TANK 35,000 GAL",ALLIUNIV,1,77.00,0.00,77.00,20.00,0.00,20.00,0.00,0.00,0.00
16-082,MALIEC TANK,ARIZCHEM,1,182.00,0.00,182.00,46.50,0.00,46.50,0.00,0.00,0.00
16-083,P80 DUILITION TANK,ASHLSPEC,1,115.25,0.00,115.25,12.00,0.00,12.00,0.00,0.00,0.00
16-084,"48"" BOLTED MANWAY & WEAR PLATE",FLOQENGI,1,3.00,0.00,3.00,1.50,0.00,1.50,0.00,0.00,0.00
16-085,STAINLESS 316L TANK 1 OF 3,TELLPROD,1,155.00,0.00,155.00,39.00,0.00,39.00,0.00,0.00,0.00
16-086,STAINLESS 316L TANK 2 OF 3,TELLPROD,1,95.50,0.00,95.50,20.50,0.00,20.50,0.00,0.00,0.00
16-087,STAINLESS 316L TANK 3 OF 3,TELLPROD,1,122.75,0.00,122.75,28.00,0.00,28.00,0.00,0.00,0.00
16-088,SS JACKETED TANK,STMAPOWD,1,91.50,0.00,91.50,15.50,0.00,15.50,0.00,0.00,0.00
16-089,16' X 16' STAINLESS STEEL TANK,PCSPHOSP,1,98.00,0.00,98.00,27.50,0.00,27.50,0.00,0.00,0.00
16-090,"WELDING OF 30""CS COMPONENTS",S&STECHN,1,128.00,0.00,128.00,23.00,0.00,23.00,0.00,0.00,0.00
16-091,"67"" TUMBLER TANK",MPEQUI11,1,18.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
16-092,7500 GAL PPP-002 TANK,TELLPROD,1,31.50,0.00,31.50,13.75,0.00,13.75,0.00,0.00,0.00
16-093,24800 GAL RO STORAGE TANK,TELLPROD,1,68.00,0.00,68.00,14.75,0.00,14.75,0.00,0.00,0.00
16-094,1500 GAL BROKE PULPER TANK,TELLPROD,1,23.50,0.00,23.50,6.00,0.00,6.00,0.00,0.00,0.00
16-095,TANK,SIGROUP1,1,158.00,0.00,158.00,21.50,0.00,21.50,0.00,0.00,0.00
16-096,9000 GAL PA MELTER PAM-C-1,POLYCOMP,1,385.75,0.00,385.75,138.00,0.00,138.00,0.00,0.00,0.00
16-097,25000 GAL PAS ST TANK PAS-D-1,POLYCOMP,1,631.50,0.00,631.50,184.75,0.00,184.75,0.00,0.00,0.00
16-098,2205 SS BAROMETRIC COND TANK,PCSPHOSP,1,276.00,0.00,276.00,26.00,0.00,26.00,0.00,0.00,0.00
16-099,150 GAL SS JACKETED DISTILLATE,S&STECHN,1,60.00,0.00,60.00,11.00,0.00,11.00,0.00,0.00,0.00
16-100,150 GAL SS NON-JACKETED DISTIL,S&STECHN,1,49.00,0.00,49.00,10.50,0.00,10.50,0.00,0.00,0.00
16-101,WATER TANK 2500 PSI,GERDCART,1,25.75,0.00,25.75,0.00,0.00,0.00,0.00,0.00,0.00
16-102,AIR TANK 2500 PSI,GERDCART,1,12.75,0.00,12.75,16.00,0.00,16.00,0.00,0.00,0.00
16-103,SHOP FABRICATED VESSEL,SIGROUP1,1,68.00,0.00,68.00,33.50,0.00,33.50,0.00,0.00,0.00
16-104,"10,000 GAL HORIZONTAL CS TANK",SOLENISL,1,153.00,0.00,153.00,15.50,0.00,15.50,0.00,0.00,0.00
16-105,REPLACEMENT REACTOR,AIRGNATI,1,132.75,0.00,132.75,33.00,0.00,33.00,0.00,0.00,0.00
16-106,PERF. UNIT,ARCHUSIN,1,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
16-107,"TANK STG 50,000 GAL 304/304L",FLOQENGI,1,103.00,0.00,103.00,32.50,0.00,32.50,0.00,0.00,0.00
16-108,SC-4 BUILDING LATEX TANKS,FITECARD,1,54.00,0.00,54.00,7.75,0.00,7.75,0.00,0.00,0.00
16-109,SC-4 BUILDING LATEX TANKS,FITECARD,1,38.25,0.00,38.25,16.00,0.00,16.00,0.00,0.00,0.00
16-110,SC-4 BUILDING LATEX TANKS,FITECARD,1,36.25,0.00,36.25,16.00,0.00,16.00,0.00,0.00,0.00
16-111,SC-4 BUILDING LATEX TANKS,FITECARD,1,25.25,0.00,25.25,9.50,0.00,9.50,0.00,0.00,0.00
16-112,SC-4 BUILDING LATEX TANKS,FITECARD,1,20.25,0.00,20.25,4.00,0.00,4.00,0.00,0.00,0.00
16-113,SC-4 BUILDING LATEX TANKS,FITECARD,1,23.75,0.00,23.75,1.00,0.00,1.00,0.00,0.00,0.00
16-114,TK-2004 C/S CATCH TANK-2800 GA,WAKOCHEM,1,50.75,0.00,50.75,16.50,0.00,16.50,0.00,0.00,0.00
16-115,TK-3903 CS 1586 GAL TANK,WAKOCHEM,1,78.75,0.00,78.75,25.50,0.00,25.50,0.00,0.00,0.00
16-116,RE-3601 S/S ATMOSPHERIC VESSEL,WAKOCHEM,1,80.75,0.00,80.75,6.50,0.00,6.50,0.00,0.00,0.00
16-117,TK-3720 S/S ATMOSPHERIC VESSEL,WAKOCHEM,1,124.50,0.00,124.50,42.50,0.00,42.50,0.00,0.00,0.00
16-118,RE-3101 SS-PRESSURE VESSEL,WAKOCHEM,1,177.25,0.00,177.25,9.50,0.00,9.50,0.00,0.00,0.00
16-119,RE-3201 SS PRESSURE VESSEL,WAKOCHEM,1,129.75,0.00,129.75,29.00,0.00,29.00,0.00,0.00,0.00
16-120,TK-3203 SS PRESSURE VESSEL,WAKOCHEM,1,120.25,0.00,120.25,16.50,0.00,16.50,0.00,0.00,0.00
16-121,RE-3301A,WAKOCHEM,1,134.00,0.00,134.00,12.00,0.00,12.00,0.00,0.00,0.00
16-122,RE-3301B,WAKOCHEM,1,128.50,0.00,128.50,20.00,0.00,20.00,0.00,0.00,0.00
16-123,TK-3506,WAKOCHEM,1,66.50,0.00,66.50,18.50,0.00,18.50,0.00,0.00,0.00
16-124,TK-3511,WAKOCHEM,1,59.00,0.00,59.00,19.50,0.00,19.50,0.00,0.00,0.00
16-125,TK-3732,WAKOCHEM,1,55.00,0.00,55.00,2.00,0.00,2.00,0.00,0.00,0.00
16-126,TK-3760,WAKOCHEM,1,112.25,0.00,112.25,6.00,0.00,6.00,0.00,0.00,0.00
16-127,RE-4100,WAKOCHEM,1,131.25,0.00,131.25,18.50,0.00,18.50,0.00,0.00,0.00
16-128,RE -4202,WAKOCHEM,1,66.50,0.00,66.50,10.00,0.00,10.00,0.00,0.00,0.00
16-129,RE-4301,WAKOCHEM,1,88.50,0.00,88.50,13.50,0.00,13.50,0.00,0.00,0.00
16-130,RE-4302,WAKOCHEM,1,100.00,0.00,100.00,31.50,0.00,31.50,0.00,0.00,0.00
16-131,RE-4401,WAKOCHEM,1,130.75,0.00,130.75,30.50,0.00,30.50,0.00,0.00,0.00
16-132,RE-4402,WAKOCHEM,1,34.00,0.00,34.00,9.50,0.00,9.50,0.00,0.00,0.00
16-133,RE-4501,WAKOCHEM,1,123.25,0.00,123.25,23.50,0.00,23.50,0.00,0.00,0.00
16-134,TK-4505,WAKOCHEM,1,41.25,0.00,41.25,6.50,0.00,6.50,0.00,0.00,0.00
16-135,TK-4510,WAKOCHEM,1,72.00,0.00,72.00,14.50,0.00,14.50,0.00,0.00,0.00
16-136,TK-4760,WAKOCHEM,1,45.00,0.00,45.00,16.50,0.00,16.50,0.00,0.00,0.00
16-137,TK-4730,WAKOCHEM,1,88.75,0.00,88.75,20.50,0.00,20.50,0.00,0.00,0.00
16-138,5000 RAW JUICE TANK,USSUGARC,1,53.50,0.00,53.50,15.50,0.00,15.50,0.00,0.00,0.00
16-139,V-022-011 304L SPEC REV 1,ALLNEXUS,1,172.50,0.00,172.50,14.50,0.00,14.50,0.00,0.00,0.00
17-001,900 GAL FF-2301,AMECFOST,1,40.00,0.00,40.00,15.50,0.00,15.50,0.00,0.00,0.00
17-002,900 GAL FF-3301,AMECFOST,1,43.50,0.00,43.50,19.50,0.00,19.50,0.00,0.00,0.00
17-003,900 GAL FF-5301,AMECFOST,1,42.50,0.00,42.50,5.00,0.00,5.00,0.00,0.00,0.00
17-004,900 GAL FF-6301,AMECFOST,1,42.00,0.00,42.00,6.50,0.00,6.50,0.00,0.00,0.00
17-005,900 GAL FF-7301,AMECFOST,1,31.50,0.00,31.50,23.00,0.00,23.00,0.00,0.00,0.00
17-006,"20,000 GAL FF-1051",AMECFOST,1,78.25,0.00,78.25,8.25,0.00,8.25,0.00,0.00,0.00
17-010,,SOLVSPEC,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
17-012,,HALOPROD,1,259.00,0.00,259.00,40.50,0.00,40.50,0.00,0.00,0.00
17-013,,THIEKAOL,1,30.50,0.00,30.50,0.00,0.00,0.00,0.00,0.00,0.00
17-014,OPEN TOP RAW SUGAR TANK,USSUGARC,1,64.75,0.00,64.75,23.00,0.00,23.00,0.00,0.00,0.00
17-015,"32,000 GAL TANK FARM #5",ASHLANDI,1,308.75,0.00,308.75,106.00,0.00,106.00,0.00,0.00,0.00
17-016,32000 GAL TANK FARM #5,ASHLANDI,1,198.50,0.00,198.50,59.25,0.00,59.25,0.00,0.00,0.00
17-017,TK-2010,COPECORP,1,27.75,0.00,27.75,5.00,0.00,5.00,0.00,0.00,0.00
17-018,TK-2020,COPECORP,1,27.50,0.00,27.50,0.50,0.00,0.50,0.00,0.00,0.00
17-019,TK-2030,COPECORP,1,11.50,0.00,11.50,6.00,0.00,6.00,0.00,0.00,0.00
17-020,TK-2040,COPECORP,1,26.25,0.00,26.25,10.50,0.00,10.50,0.00,0.00,0.00
17-021,TK-2050,COPECORP,1,20.00,0.00,20.00,2.50,0.00,2.50,0.00,0.00,0.00
17-022,TK-2060,COPECORP,1,17.50,0.00,17.50,0.50,0.00,0.50,0.00,0.00,0.00
17-023,TK-2070,COPECORP,1,23.00,0.00,23.00,0.50,0.00,0.50,0.00,0.00,0.00
17-024,TK-2080,COPECORP,1,23.00,0.00,23.00,0.50,0.00,0.50,0.00,0.00,0.00
17-025,310 SS CYLINDER,GARRMACH,1,16.50,0.00,16.50,7.00,0.00,7.00,0.00,0.00,0.00
17-027,"18,000 GAL 316L DRUM (LD-501)",SOLVSPEC,1,140.00,0.00,140.00,28.00,0.00,28.00,0.00,0.00,0.00
17-028,TEST VESSEL,SAVATANK,1,10.50,0.00,10.50,5.50,0.00,5.50,0.00,0.00,0.00
17-029,"10,000 GAL PROCESS TANK 1 OF 2",NUTEMANA,1,95.00,0.00,95.00,19.50,0.00,19.50,0.00,0.00,0.00
17-030,"10,000 GAL PROCESS TANK 2 OF 2",NUTEMANA,1,109.75,0.00,109.75,40.00,0.00,40.00,0.00,0.00,0.00
17-031,TK6733 6500 GAL UREA DIS TANK,PCSNITROF,1,83.50,0.00,83.50,8.00,0.00,8.00,0.00,0.00,0.00
17-032,RQ001452-02 / RQ001452-03,WAKOCHEM,1,18.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
17-033,RQ001451-01 / RQ001451-02,WAKOCHEM,1,11.75,0.00,11.75,0.00,0.00,0.00,0.00,0.00,0.00
17-034,"10,000 GAL FLAMMABLE TANK",STEPCOMP,1,158.50,0.00,158.50,8.75,0.00,8.75,0.00,0.00,0.00
17-035,"6,500 GAL BLENDING TANK",ASHLANDI,1,135.50,0.00,135.50,48.50,0.00,48.50,0.00,0.00,0.00
17-036,ALLOY 20 REPLACEMENT HEAD,HALOPROD,1,12.75,0.00,12.75,9.00,0.00,9.00,0.00,0.00,0.00
17-037,C6721-208368,JORDINTL,1,471.75,0.00,471.75,98.50,0.00,98.50,0.00,0.00,0.00
17-038,78 FOOT SILO,CONTPACK,1,229.50,0.00,229.50,48.50,0.00,48.50,0.00,0.00,0.00
17-039,"12,700 GAL H-16 SO-56 STORAGE",THELUBRI,1,89.25,0.00,89.25,21.00,0.00,21.00,0.00,0.00,0.00
17-040,"24,900 GAL H-15 AQUEOUS WASTE",THELUBRI,1,209.50,0.00,209.50,31.50,0.00,31.50,0.00,0.00,0.00
17-041,BOILER FEED WATER FLASH TANK,GEORPACI,1,37.50,0.00,37.50,1.00,0.00,1.00,0.00,0.00,0.00
17-042,10000 GAL API 650 STORAGE TANK,IFFCHEMI,1,70.00,0.00,70.00,13.25,0.00,13.25,0.00,0.00,0.00
17-043,4800 GAL HYDRO TANK-STAINLESS,BLUECYPR,1,113.75,0.00,113.75,10.00,0.00,10.00,0.00,0.00,0.00
17-044,880 GAL DECANTER FEED TANK,GPALABRI,1,81.25,0.00,81.25,44.50,0.00,44.50,0.00,0.00,0.00
17-045,R-501 TOLUENE RECOVERY TANK,WAKOCHEM,1,42.75,0.00,42.75,1.00,0.00,1.00,0.00,0.00,0.00
17-046,"50,000 GAL EXXSOL STORAGE TANK",FLOQENGI,1,200.50,0.00,200.50,37.75,0.00,37.75,0.00,0.00,0.00
17-047,"50,000 GAL EXXSOL STORAGE TANK",FLOQENGI,1,184.00,0.00,184.00,30.00,0.00,30.00,0.00,0.00,0.00
17-048,ROLL 43 ANGLES,B&ZINSUL,1,6.50,0.00,6.50,6.50,0.00,6.50,0.00,0.00,0.00
17-049,310 SS CYLINDER,GARRMACH,1,10.50,0.00,10.50,18.00,0.00,18.00,0.00,0.00,0.00
17-050,SUPPLY AND ROLL 83 ANGLES,B&ZINSUL,1,14.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00
17-053,,HALOPROD,1,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00
17-054,,AIRLIQUI,1,7.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
17-055,,DAKAMERI,1,79.50,0.00,79.50,8.00,0.00,8.00,0.00,0.00,0.00
17-056,,AIRCO111,1,39.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00
17-057,,PLASPROC,1,21.50,0.00,21.50,3.00,0.00,3.00,0.00,0.00,0.00
17-059,300910168,ANDRITZI,1,43.75,0.00,43.75,4.50,0.00,4.50,0.00,0.00,0.00
17-060,,ZACHGROU,1,65.25,0.00,65.25,61.00,0.00,61.00,0.00,0.00,0.00
17-061,30 GAL DCB CHARGE POT V-903,SOLVSPEC,1,60.50,0.00,60.50,5.00,0.00,5.00,0.00,0.00,0.00
17-062,,360INDU,1,28.50,0.00,28.50,6.00,0.00,6.00,0.00,0.00,0.00
17-063,,AIRCO111,1,10.50,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00
17-064,,SOLVSPEC,1,151.00,0.00,151.00,33.50,0.00,33.50,0.00,0.00,0.00
17-066,"(1) 15,800 GAL VERTICAL TANK",S&STECHN,1,92.25,0.00,92.25,0.00,0.00,0.00,0.00,0.00,0.00
17-067,SPARE DRYER SHELL,HALOPROD,1,10.00,0.00,10.00,0.50,0.00,0.50,0.00,0.00,0.00
17-068,"12,000 GAL WATER STORAGE TANK",IMPESAVA,1,121.50,0.00,121.50,21.00,0.00,21.00,0.00,0.00,0.00
17-069,,GARRMACH,1,7.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
17-071,,MILLIKEN,1,48.25,0.00,48.25,0.00,0.00,0.00,0.00,0.00,0.00
17-072,,FUJIVEGE,1,86.00,0.00,86.00,3.00,0.00,3.00,0.00,0.00,0.00
17-073,,FUJIVEGE,1,101.00,0.00,101.00,3.00,0.00,3.00,0.00,0.00,0.00
17-074,,FUJIVEGE,1,92.75,0.00,92.75,1.00,0.00,1.00,0.00,0.00,0.00
17-076,9500 GAL TAD BULK TANK,IRVCPROD,1,65.50,0.00,65.50,10.00,0.00,10.00,0.00,0.00,0.00
17-077,9500 GAL TAD BULK TANK,IRVCPROD,1,70.75,0.00,70.75,12.50,0.00,12.50,0.00,0.00,0.00
17-078,13000 GAL YANKEE MACHINE CHEST,IRVCPROD,1,87.75,0.00,87.75,20.50,0.00,20.50,0.00,0.00,0.00
17-079,13000 GAL CORE MACHINE CHEST,IRVCPROD,1,125.00,0.00,125.00,26.00,0.00,26.00,0.00,0.00,0.00
17-080,13000 GAL TAD MACHINE CHEST,IRVCPROD,1,140.25,0.00,140.25,15.00,0.00,15.00,0.00,0.00,0.00
17-081,6500 GAL DAF REC. FIBER TANK,IRVCPROD,1,50.50,0.00,50.50,9.00,0.00,9.00,0.00,0.00,0.00
17-082,11000 GAL MAKE-UP WATER TANK,IRVCPROD,1,113.75,0.00,113.75,18.00,0.00,18.00,0.00,0.00,0.00
17-083,20000 GAL BULK STORAGE TANK,IRVCPROD,1,162.25,0.00,162.25,19.00,0.00,19.00,0.00,0.00,0.00
17-084,20000 GAL BULK STORAGE TANK,IRVCPROD,1,76.00,0.00,76.00,15.00,0.00,15.00,0.00,0.00,0.00
17-085,16000 GAL LIQUID RING WATER TK,IRVCPROD,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
17-086,6500 GAL RECOVERED FIBER TANK,IRVCPROD,1,112.50,0.00,112.50,17.25,0.00,17.25,0.00,0.00,0.00
17-087,4500 GAL CONDENSATE TANK,IRVCPROD,1,57.25,0.00,57.25,15.50,0.00,15.50,0.00,0.00,0.00
17-088,300 GAL TAD SEAL POT,IRVCPROD,1,24.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00
17-089,1300 GAL FORMING SEAL POT,IRVCPROD,1,83.50,0.00,83.50,7.00,0.00,7.00,0.00,0.00,0.00
17-091,,MULLMECH,1,25.75,0.00,25.75,2.00,0.00,2.00,0.00,0.00,0.00
17-092,,MULLMECH,1,61.50,0.00,61.50,7.25,0.00,7.25,0.00,0.00,0.00
18-001,,ROSENBLAD,1,272.75,0.00,272.75,43.25,0.00,43.25,0.00,0.00,0.00
18-002,,ROSENBLAD,1,167.00,0.00,167.00,11.50,0.00,11.50,0.00,0.00,0.00
18-003,,ROSENBLAD,1,123.00,0.00,123.00,20.50,0.00,20.50,0.00,0.00,0.00
18-004,,ROSENBLAD,1,199.00,0.00,199.00,44.75,0.00,44.75,0.00,0.00,0.00
18-006,,SOLVSPEC,1,89.50,0.00,89.50,16.25,0.00,16.25,0.00,0.00,0.00
18-007,,SOLVSPEC,1,106.50,0.00,106.50,8.00,0.00,8.00,0.00,0.00,0.00
18-008,,SOLVSPEC,1,6.50,0.00,6.50,5.50,0.00,5.50,0.00,0.00,0.00
18-009,,PINOVAIN,1,97.00,0.00,97.00,10.00,0.00,10.00,0.00,0.00,0.00
18-010,,FUJIVEGE,1,77.50,0.00,77.50,9.00,0.00,9.00,0.00,0.00,0.00
18-011,,FUJIVEGE,1,66.50,0.00,66.50,0.00,0.00,0.00,0.00,0.00,0.00
18-013,,DOMTPAPE,1,40.00,0.00,40.00,29.00,0.00,29.00,0.00,0.00,0.00
18-014,,PINOVAIN,1,39.00,0.00,39.00,8.00,0.00,8.00,0.00,0.00,0.00
18-015,VENT CONDENSER,HALOPROD,1,6.50,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00
18-016,VENT CONDENSER,HALOPROD,1,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
18-017,VENT CONDENSER,HALOPROD,1,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
18-019,SS POWDER STORAGE SILO,FLOQENGI,1,414.00,0.00,414.00,103.25,0.00,103.25,0.00,0.00,0.00
18-020,SS POWDER STORAGE SILO,FLOQENGI,1,280.25,0.00,280.25,44.25,0.00,44.25,0.00,0.00,0.00
18-021,SS POWDER STORAGE SILO,FLOQENGI,1,298.50,0.00,298.50,79.75,0.00,79.75,0.00,0.00,0.00
18-022,TAD SEAL PIT TANK,IRVCPROD,1,32.50,0.00,32.50,7.00,0.00,7.00,0.00,0.00,0.00
18-023,DRY STRENGTH BULK TANK,IRVCPROD,1,50.00,0.00,50.00,12.50,0.00,12.50,0.00,0.00,0.00
18-024,REJECTS REFINER FEED TANK,INTEPAPE,1,43.00,0.00,43.00,21.50,0.00,21.50,0.00,0.00,0.00
18-025,SECONDARY FEED TANK,INTEPAPE,1,104.00,0.00,104.00,30.00,0.00,30.00,0.00,0.00,0.00
18-026,TERTIARY TANK,INTEPAPE,1,95.50,0.00,95.50,13.50,0.00,13.50,0.00,0.00,0.00
18-028,"11,000 GAL VERT.  ASME REACTOR",HARPLOVE,1,463.50,0.00,463.50,92.50,0.00,92.50,0.00,0.00,0.00
18-029,"11,000 GAL VERT. ASME REACTOR",HARPLOVE,1,541.75,0.00,541.75,73.50,0.00,73.50,0.00,0.00,0.00
18-030,"2,000 GAL ASME PRESSURE VESSEL",HARPLOVE,1,67.00,0.00,67.00,5.50,0.00,5.50,0.00,0.00,0.00
18-031,"8"" VENT CONDENSER",HALOPROD,1,15.00,0.00,15.00,6.00,0.00,6.00,0.00,0.00,0.00
18-032,,AIRCO111,1,25.50,0.00,25.50,0.00,0.00,0.00,0.00,0.00,0.00
18-033,50 GAL VACCUM KNOCKOUT TANK,MILLIKEN,1,108.50,0.00,108.50,19.00,0.00,19.00,0.00,0.00,0.00
18-035,,AIRCO111,1,10.50,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00
