25-128,18,Weld Nozzles - Bot. Head,PRE FAB,1,1,C,2026-01-13 00:00:00.000
25-128,19,"Bld Skirt, Roll & Tack",PRE FAB,2,1.75,C,2026-01-13 00:00:00.000
25-128,20,"Bld Skirt, Fit Anchor/Gst",FIT,1,1,C,2026-01-13 00:00:00.000
25-128,21,"Weld Skirt Nozzles, Etc.",FIT,1,1,C,2026-01-13 00:00:00.000
25-128,22,ASME Hold Point,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,23,Fit Bottom Head to Shell,FIT,4,2.5,C,2026-01-13 00:00:00.000
25-128,24,Install Baffles-Weld,FIT,6,2.5,C,2026-01-13 00:00:00.000
25-128,25,Install Internal Parts,FIT,3,2.5,C,2026-01-13 00:00:00.000
25-128,26,QC Inspection - Internal,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,27,Fit Top to Shell,FIT,1,1.5,C,2026-01-13 00:00:00.000
25-128,28,Weld all Outside Seams,FIT,2,2,C,2026-01-13 00:00:00.000
25-128,29,Move Tank to Detail Rolls,MOVE TANK,1,0,C,2026-01-13 00:00:00.000
25-128,30,Install Support Parts,FIT,4,1,C,2026-01-13 00:00:00.000
25-128,31,Set Nozzles in Shell,FIT,1,0,C,2026-01-13 00:00:00.000
25-128,32,Weld Shell Nozz & M/Ws,FIT,3,2,C,2026-01-13 00:00:00.000
25-128,33,Install Name Tag,FINISHING,1,0,C,2026-01-13 00:00:00.000
25-128,34,"Inspect Tank, Make Repair",FIT,1,0,C,2026-01-13 00:00:00.000
25-128,35,QC Inspection - Fab,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,36,ASME Inspection Internal,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,37,Move to Shop Test Area,MOVE TANK,1,0,C,2026-01-13 00:00:00.000
25-128,38,Test Tank,FINISHING,4,6,C,2026-01-13 00:00:00.000
25-128,39,QC Inspection - Test,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,40,ASME Inspection Test,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,41,Clean Tank Complete,FINISHING,5,1.5,C,2026-01-13 00:00:00.000
25-128,42,QC Inspection - Clean,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,43,Prepare Tank for Shipment,FINISHING,1,0,C,2026-01-13 00:00:00.000
25-128,44,QC Inspection - Final & L,INSPECTION,0,0,C,2026-01-13 00:00:00.000
25-128,45,Load on Truck,SHIPPING,1,1.5,C,2026-01-13 00:00:00.000
25-134,0,Receive Material,PRE FAB,0,0,O,2026-01-13 00:00:00.000
25-134,1,UT Top & Bottom Heads,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,2,Cut Nozzle Pipe and Clean,PRE FAB,2,1.5,S,2026-01-13 00:00:00.000
25-134,3,Build Nozzles-Weld,PRE FAB,4,3.5,S,2026-01-13 00:00:00.000
25-134,4,Cut Parts on Burn Table,PRE FAB,6,3,S,2026-01-13 00:00:00.000
25-134,5,Clean & Prep Parts,PRE FAB,3,2,S,2026-01-13 00:00:00.000
25-134,6,"Bld Lift Lugs, Grd Lugs",PRE FAB,1,1,S,2026-01-13 00:00:00.000
25-134,7,Fab Miscellaneous Parts,PRE FAB,2,2,S,2026-01-13 00:00:00.000
25-134,8,Misc Fabrication,PRE FAB,2,2,S,2026-01-13 00:00:00.000
25-134,9,Wrap Top & Bottom Heads,PRE FAB,1,0,O,2026-01-13 00:00:00.000
25-134,10,UT Shells,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,11,"BI, SQ, T&C Shells",PRE FAB,1,1,S,2026-01-13 00:00:00.000
25-134,12,"Roll Shell, Tack-Weld I/S",PRE FAB,3,3,S,2026-01-13 00:00:00.000
25-134,13,QC Inspection -Top/Bot/Co,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,14,Set Nozzles & Lugs - Top,PRE FAB,1,1,S,2026-01-13 00:00:00.000
25-134,15,Weld Nozzles - Top Head,PRE FAB,3,1,S,2026-01-13 00:00:00.000
25-134,16,QC Inspection -Top/Bot/Co,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,17,Set Nozzles - Bottom Head,PRE FAB,1,1,S,2026-01-13 00:00:00.000
25-134,18,Weld Nozzles - Bot. Head,PRE FAB,1,2.5,S,2026-01-13 00:00:00.000
25-134,19,"Bld Skirt, Roll & Tack",PRE FAB,2,1,S,2026-01-13 00:00:00.000
25-134,20,"Bld Skirt, Fit Anchor/Gst",FIT,1,1,S,2026-01-13 00:00:00.000
25-134,21,"Weld Skirt Nozzles, Etc.",FIT,1,1,S,2026-01-13 00:00:00.000
25-134,22,ASME Hold Point,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,23,Fit Bottom Head to Shell,FIT,4,2.5,S,2026-01-13 00:00:00.000
25-134,24,Install Baffles-Weld,FIT,6,3,S,2026-01-13 00:00:00.000
25-134,25,Install Internal Parts,FIT,3,1,S,2026-01-13 00:00:00.000
25-134,26,QC Inspection - Internal,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,27,Fit Top to Shell,FIT,1,1,S,2026-01-13 00:00:00.000
25-134,28,Weld all Outside Seams,FIT,2,3,S,2026-01-13 00:00:00.000
25-134,29,Move Tank to Detail Rolls,MOVE TANK,1,0,O,2026-01-13 00:00:00.000
25-134,30,Install Support Parts,FIT,4,3,S,2026-01-13 00:00:00.000
25-134,31,Set Nozzles in Shell,FIT,1,0,O,2026-01-13 00:00:00.000
25-134,32,Weld Shell Nozz & M/Ws,FIT,3,2,S,2026-01-13 00:00:00.000
25-134,33,Install Name Tag,FINISHING,1,0.5,S,2026-01-13 00:00:00.000
25-134,34,"Inspect Tank, Make Repair",FIT,1,0,O,2026-01-13 00:00:00.000
25-134,35,QC Inspection - Fab,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,36,ASME Inspection Internal,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,37,Move to Shop Test Area,MOVE TANK,1,0,O,2026-01-13 00:00:00.000
25-134,38,Test Tank,FINISHING,4,4,S,2026-01-13 00:00:00.000
25-134,39,QC Inspection - Test,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,40,ASME Inspection Test,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,41,Clean Tank Complete,FINISHING,5,0,O,2026-01-13 00:00:00.000
25-134,42,QC Inspection - Clean,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,43,Prepare Tank for Shipment,FINISHING,1,0,O,2026-01-13 00:00:00.000
25-134,44,QC Inspection - Final & L,INSPECTION,0,0,O,2026-01-13 00:00:00.000
25-134,45,Load on Truck,SHIPPING,1,0,O,2026-01-13 00:00:00.000
25-170,0,Receive Material,PRE FAB,0,0,O,2026-01-02 00:00:00.000
25-170,1,UT Top & Bottom Heads,INSPECTION,0,0,O,2026-01-02 00:00:00.000
25-170,2,Cut Nozzle Pipe and Clean,PRE FAB,2,0.5,S,2026-01-02 00:00:00.000
25-170,3,Build Nozzles-Weld,PRE FAB,4,0,O,2026-01-02 00:00:00.000
25-170,4,Cut Parts on Burn Table,PRE FAB,6,1,S,2026-01-02 00:00:00.000
