Material,Description,Req_Count,Total_Est_Qty,Total_Act_Qty,Total_Est_Cost
"FLANGE 316L 2""150 WD NK","Flange 316L 2"" 150# WD NK",72,240.0,235.0,11590.620000000003
"FLANGE 316L 6""150 RFSO","Flange 316L 6"" 150# RFSO",71,126.0,131.0,12725.979999999992
PLT 316L 3/8 X 48 X,"Plate 316L 3/8""x 48""x",70,88.05000000000001,84.6,213767.59260000003
"FLANGE 304L 24""150 RFSO","Flange 304L 24"" 150# RFSO",69,101.0,100.0,132556.31
PIPE 316L 1 SC40 WLD X,"Pipe 316L 1"" Sch40 Welded",69,69.5,68.0,5335.330000000002
NUT SA194-8 3/4 HH,"Nut SA194-8 3/4"" HH",69,982.0,974.0,670.3256399999998
BOLT B7 PL 1/2X1.5 HH,"Bolt B7 Plated 1/2"" x 1.5"" HH",68,827.0,843.0,1420.3740000000003
PIPE 304L 1 SC80 WLD X,"Pipe 304L 1"" Sch80 Welded",68,54.0,55.0,4789.189999999997
PLT 304L 1/4 X 72 X,"Plate 304L 1/4""x 72""x",68,173.0,166.0,262594.7043
"FLANGE 316L 2""150 BLIND","Flange 316L 2"" 150# BLIND",68,101.0,101.0,4057.78
PIPE 304L 12 SC40 WLD X,"Pipe 304L 12"" Sch40 Welded",67,63.0,62.0,61197.45
"PLT 304L 3/8""X X","Plate 304L 3/8""  x x",66,360.0,364.0,1924.6672
"PLT 304L 3/16""X X","Plate 304L 3/16""  x x",65,138.0,153.0,1200.0
ELBOW 304L 4 SCH40 90 WLD,"Elbow 304L 4"" Sch40 90 Weld",65,129.0,127.0,4143.5700000000015
"FLANGE 304L 6""150 BLIND","Flange 304L 6"" 150# BLIND",65,87.0,88.0,5808.800000000001
PIPE 316L 1.5 SC40 WLD X,"Pipe 316L 1.5"" Sch40 Welded",65,85.5,72.0,11060.989
"FLANGE 304L 24""150 BLIND","Flange 304L 24"" 150# BLIND",64,93.0,93.0,238826.74000000005
BOLT B7 PL 5/8X1.5 HH,"Bolt B7 Plated 5/8"" x 1.5"" HH",63,1335.0,1315.0,2582.34
"FLANGE 316L 4""150 BLIND","Flange 316L 4"" 150# BLIND",60,78.0,78.0,6357.219999999999
"FLANGE 304L 10""150 RFSO","Flange 304L 10"" 150# RFSO",59,71.0,68.0,18567.979999999996
PIPE 304L 1.5 SC40 WLD X,"Pipe 304L 1.5"" Sch40 Welded",59,232.99999999999994,231.99999999999994,26805.129300000004
"FLANGE 316L 1""150 RFSO","Flange 316L 1"" 150# RFSO",58,320.0,262.0,5932.220000000001
PIPE 316L 2 SC80 WLD X,"Pipe 316L 2"" Sch80 Welded",56,54.0,49.0,10486.599999999999
"FLANGE 316L 4""150 WD NK","Flange 316L 4"" 150# WD NK",56,123.0,123.0,14614.189999999997
"PLT 304L 3/4""X48""X","PLT 304L 3/4""X48""X",55,17.799999999999994,16.799999999999994,51297.84400000004
"PLT SA36 1/4""X X","Plate SA36 1/4""  x x",55,85.0,85.0,492.0
"PLT SA36 1/2""X X","Plate SA36 1/2""  x x",54,230.0,238.0,1553.98952
PIPE SA53B 4 SC40ST  X,"Pipe SA53B 4"" Sch40ST",54,39.359999999999985,39.29999999999999,3092.1032000000005
"FLANGE 304L 1.5""150 RFSO","Flange 304L 1.5"" 150# RFSO",54,105.0,104.0,3450.370000000001
ELBOW 304L 3 SCH40 90 WLD,"Elbow 304L 3"" Sch40 90 Weld",53,130.0,115.0,2303.760000000001
"FLANGE 316L 8""150 RFSO","Flange 316L 8"" 150# RFSO",53,87.0,87.0,16767.569999999992
NUT 2H P 1.25 HH,"Nut 2H Plated 1.25"" HH",51,2596.0,2516.0,6439.18
PIPE SA53B 2 SC40ST  X,"Pipe SA53B 2"" Sch40ST",51,68.5,66.5,3802.215
"FLANGE 304L 4""150 WD NK","Flange 304L 4"" 150# WD NK",51,94.0,90.0,5712.77
"FLANGE SA105 2""150 BLIND","Flange SA105 2"" 150# BLIND",50,73.0,71.0,908.1969999999999
AG 304L 3/8 X 2 X 2 X 20',"Angle 304L 3/8""x 2""x 2""x 20'",50,91.00000000000007,91.00000000000007,21957.350179999994
XRAY RESHOOT,Reshoot Xrays,50,118.0,123.0,0.0
FLAT 316L 1/4 X 2 X 12',"Flat Stk 316L 1/4""x 2""x 12'",49,90.8,93.99999999999999,6097.025000000001
CPLG 304L 1 3000 FULL THRD,"Coupling 304L 1""3000 Full Th",48,101.0,91.0,558.7300000000001
"FLANGE 304L 6""150 WD NK","Flange 304L 6"" 150# WD NK",48,90.0,89.0,8952.210000000003
FLAT 304L 3/8 X 2 X,"Flat Stk 304L 3/8""x 2""x",48,97.0,95.0,167.0
FLAT SA36 1/4 X 2 X 20',"Flat Stk SA36 1/4""x 2""x 20'",48,104.00000000000003,103.00000000000003,2001.7607999999993
PLT 304L 5/16 X 48 X,"Plate 304L 5/16""x 48""x",47,64.89999999999999,64.89999999999999,98106.45880000005
GASKET RING 1/8X1 150#,"Gasket Ring 1/8""x1"" 150#",46,146.0,141.0,321.24999999999994
BOLT B7 PL 1/2X2 HH,"Bolt B7 Plated 1/2"" x 2"" HH",46,1048.0,948.0,2130.1499999999996
"FLANGE 316L 6""150 WD NK","Flange 316L 6"" 150# WD NK",46,69.0,69.0,11945.320000000002
AG SA36 3/8 X 3 X 3 X 20',"Angle SA36 3/8""x 3""x 3""x 20'",46,79.0,71.0,6345.456299999999
"FLANGE 316L 24""150 BLIND","Flange 316L 24"" 150# BLIND",45,54.0,51.0,183128.84
"FLANGE SA105 6""150 RFSO","Flange SA105 6"" 150# RFSO",45,78.0,78.0,2501.004
"FLANGE 316L 1.5""150 WD NK","Flange 316L 1.5"" 150# WD NK",44,115.0,115.0,8903.46
PLT 316L 1/4 X 72 X,"Plate 316L 1/4""x 72""x",44,87.00000000000001,85.00000000000001,184562.9016
FLAT SA36 3/8 X 2 X,"Flat Stk SA36 3/8""x 2""x",44,151.0,151.0,154.9937
NUT SA194-8 5/8 HH,"Nut SA194-8 5/8"" HH",44,939.0,934.0,817.0493000000001
"FLANGE 304L 3/4""150 RFSO","Flange 304L 3/4"" 150# RFSO",43,165.0,165.0,3233.68
"FLANGE 316L 12""150 RFSO","Flange 316L 12"" 150# RFSO",42,51.0,51.0,26945.93
PIPE 316L 12 SC40 WLD X,"Pipe 316L 12"" Sch40 Welded",42,27.33,27.0,27707.36999999999
PIPE SA106 3 SC40ST  X,"Pipe SA106 3"" Sch40ST",42,87.0,88.0,23370.74
REBAR SA706 3/4 X 18.75,"Rebar SA706 3/4"" dia x 18.75""",42,1029.0,1003.0,912.0
"FLANGE 304L 12""150 RFSO","Flange 304L 12"" 150# RFSO",42,73.0,72.0,34818.030000000006
GASKET RING 1/8X1.5 150#,"Gasket Ring 1/8""x1.5"" 150#",41,64.0,64.0,165.30999999999995
CPLG 304L 1/2 3000 HALF THRD,"Coupling 304L 1/2""3000 Half Th",40,101.0,98.0,271.22999999999996
FLAT SA36 3/8 X 2 X 20',"Flat Stk SA36 3/8""x 2""x 20'",40,31.999999999999993,30.999999999999993,1057.0259999999998
"FLANGE SA105 1""150 RFSO","Flange SA105 1"" 150# RFSO",40,84.0,84.0,892.878
CPLG SA105 1 3000 FULL THRD,"Coupling 105 1""3000 Full Th",40,84.0,82.0,419.77400000000017
PIPE SA53B 3 SC40ST  X,"Pipe SA53B 3"" Sch40ST",39,39.39999999999999,39.39999999999999,2084.632
"FLANGE 316L 1.5""150 RFSO","Flange 316L 1.5"" 150# RFSO",39,68.0,68.0,2133.31
"PLT 304L 5/8""X X","Plate 304L 5/8""  x x",39,118.0,110.0,11196.0
"FLANGE SA105 3""150 BLIND","Flange SA105 3"" 150# BLIND",38,64.0,64.0,1019.7759999999998
GASKET RING 1/8X12 150#,"Gasket Ring 1/8""x12"" 150#",38,62.0,62.0,1904.5700000000008
"FLANGE 304L 2""150 WD NK","Flange 304L 2"" 150# WD NK",37,94.0,91.0,2627.01
ESCORT VEHICLE,Escort Vehicles,37,38.0,37.0,100387.25989999999
"PLT SA36 5/8""X X","Plate SA36 5/8""  x x",36,58.0,66.0,7291.998
PIPE 304L 2.5 SC40 WLD X,"Pipe 304L 2.5"" Sch40 Welded",36,37.0,36.0,585.75
"FLANGE 316L 24""150 RFSO","Flange 316L 24"" 150# RFSO",36,44.0,44.0,62660.58
"FLANGE SA105 24""150 RFSO","Flange SA105 24"" 150# RFSO",36,43.0,43.0,18581.98
"FLANGE 316L 6""150 BLIND","Flange 316L 6"" 150# BLIND",36,49.0,51.0,6005.209999999999
PIPE SA53B 6 SC40ST  X,"Pipe SA53B 6"" Sch40ST",36,36.56,35.849999999999994,3607.206
"FLANGE SA105 24""150 BLIND","Flange SA105 24"" 150# BLIND",35,45.0,45.0,34855.91
PIPE 316L 1 SC80 WLD X,"Pipe 316L 1"" Sch80 Welded",35,38.0,37.0,2462.5800000000004
GASKET RING 1/8X8 150#,"Gasket Ring 1/8""x8"" 150#",35,53.0,53.0,813.9299999999998
PLT 316L 1/2 X 48 X,"Plate 316L 1/2""x 48""x",35,40.9,38.900000000000006,112725.14360000001
"PLT 316L 1/4""X X","Plate 316L 1/4""  x x",35,69.5,69.0,5314.8848
PIPE SA106 6 SC40ST  X,"Pipe SA106 6"" Sch40ST",34,15.0,15.0,2518.2799999999997
PIPE SA106 2 SC40ST  X,"Pipe SA106 2"" Sch40ST",34,19.000000000000004,18.000000000000004,1679.4899999999998
ROD 304L 3/4 X 12',"Rod 4/304L 3/4""x 12'",34,67.0,67.0,2970.013999999999
FLAT 304L 1/4 X 3 X 12',"Flat Stk 304L 1/4""x 3""x 12'",34,197.00000000000006,189.00000000000006,10096.648699999996
FLAT 304L 1/2 X 3 X,"Flat Stk 304L 1/2""x 3""x",34,220.0,230.0,318.0
PIPE SA53B 3 SC80XS  X,"Pipe SA53B 3"" Sch80XS",34,21.9,21.4,3607.044
HALF PIPE COIL,Half Pipe Coil to Specificatio,34,66.0,58.0,303827.0
PIPE 304L 1.5 SC80 WLD X,"Pipe 304L 1.5"" Sch80 Welded",34,49.0,49.0,10888.010000000002
"FLANGE 316L 1""150 WD NK","Flange 316L 1"" 150# WD NK",33,78.0,78.0,2347.19
"FLANGE 304L 3""150 WD NK","Flange 304L 3"" 150# WD NK",33,98.0,95.0,4169.28
NUT SA194-8 1/2 HH,"Nut SA194-8 1/2"" HH",33,730.0,730.0,403.1200000000002
PLT SA516-1/4 X 96 X,"Plate SA516- 1/4""x96""x",32,45.080000000000005,42.75000000000001,75574.32858999999
BOLT B8 5/8X3 HH,"Bolt B8 5/8"" x 3"" HH",32,412.0,411.0,2117.28
BOLT B8 3/4X2.5 HH,"Bolt B8 3/4"" x 2.5"" HH",31,304.0,302.0,1428.0799999999995
STRUCTURAL STAMP & CERT,Structural Stamp & Certificati,31,30.0,30.0,16000.0
NUT 2H 3/4 HH,"Nut 2H 3/4"" HH",31,842.0,792.0,645.4992
BOLT B7 PL 3/4X2 HH,"Bolt B7 Plated 3/4"" x 2"" HH",31,500.0,482.0,1949.6324
"STUDPAD 304L 3""150 STD","Studpad 304L 3"" 150# Std",31,43.0,42.0,14217.369999999999
PIPE SA53B 10 SC40ST  X,"Pipe SA53B 10"" Sch40ST",31,39.5,39.0,12909.630000000001
STUD SA193-B7P 1.25 X 7,"Stud SA193-B7P 1.25""x 7""",31,660.0,600.0,7307.3240000000005
PIPE SA53B 2 SC80XS  X,"Pipe SA53B 2"" Sch80XS",31,24.32999999999999,23.999999999999993,1980.079
PIPE 304L 8 SC10 WLD X,"Pipe 304L 8"" Sch10 Welded",30,56.0,56.0,28381.24
GASKET RING 1/8X18 150#,"Gasket Ring 1/8""x18"" 150#",30,45.0,44.0,2685.9600000000005
PIPE 304L 2 SC40 SML X,"Pipe 304L 2"" Sch40 Seamless",30,18.21,17.21,1039.13
NUT SA194-8M 5/8 HH,"Nut SA194-8M 5/8"" HH",30,583.0,583.0,731.1877999999999
AG 316L 1/4 X 3 X 3 X 20',"Angle 316L 1/4""x 3""x 3""x 20'",30,35.6,38.00000000000001,7750.016399999999
PLT 316L 3/16 X 72 X,"Plate 316L 3/16""x 72""x",30,78.0,75.0,216104.7994400001
PIPE SA53B 8 SC40ST  X,"Pipe SA53B 8"" Sch40ST",29,22.450000000000003,22.450000000000003,5993.1990000000005
"FLANGE SA105 2""150 WD NK","Flange SA105 2"" 150# WD NK",29,76.0,76.0,1312.53
"FLANGE SA105 3""150 WD NK","Flange SA105 3"" 150# WD NK",29,115.0,115.0,1705.8299999999995
PIPE SA106 4 SC40ST  X,"Pipe SA106 4"" Sch40ST",29,13.0,13.0,1816.2199999999998
BOLT B7 PL 1/2X2.5 HH,"Bolt B7 Plated 1/2"" x 2.5"" HH",29,161.0,161.0,266.43999999999994
PIPE 316L 10 SC40 WLD X,"Pipe 316L 10"" Sch40 Welded",29,27.0,27.0,21152.409999999996
PIPE 304L 3 SC40 SML X,"Pipe 304L 3"" Sch40 Seamless",29,31.999999999999996,31.999999999999996,3281.607899999999
"FLANGE SA105 8""150 RFSO","Flange SA105 8"" 150# RFSO",28,44.0,44.0,1951.4589999999998
"SAFETY GATE GALV 24"" SELF CLOS","Safety Gate Galvanized 24"" SC",28,33.0,32.0,7026.0
"FLANGE SA105 4""150 WD NK","Flange SA105 4"" 150# WD NK",28,45.0,45.0,1263.5720000000001
PIPE 304L 3/4 SC80 WLD X,"Pipe 304L 3/4"" Sch80 Welded",28,42.0,42.0,4434.48
PIPE 316L 3 SC80 WLD X,"Pipe 316L 3"" Sch80 Welded",28,26.0,26.0,10190.609999999999
NUT 2H 5/8 HH,"Nut 2H 5/8"" HH",28,766.0,766.0,421.10000000000014
"PLT SA36 1""X X","Plate SA36 1"" x x",28,23.699999999999996,21.699999999999996,20928.269000000008
NUT SA325 3/4 HH,"Nut SA325 3/4"" HH",28,366.0,366.0,191.68
"PLT 316L 1/2""X X","Plate 316L 1/2""  x x",28,78.0,82.0,2355.62
PIPE SA106 2 SC80XS  X,"Pipe SA106 2"" Sch80XS",27,21.0,21.0,1951.68
STUBEND 316L 3 SCH40,"Stubend 316L 3"" Sch40",27,54.0,54.0,1118.88
"FLANGE 304L 8""150 WD NK","Flange 304L 8"" 150# WD NK",26,45.0,45.0,9382.18
ELBOW 304L 3 SCH40 45 WLD,"Elbow 304L 3"" Sch40 45 Weld",26,34.0,25.0,523.86
"FLANGE 304L 1""150 BLIND","Flange 304L 1"" 150# BLIND",26,33.0,28.0,498.02
FLAT SA36 1/2 X 3 X,"Flat Stk SA36 1/2""x 3""x",26,87.0,99.0,693.46
AG 304L 3/16 X 2 X 2 X 20',"Angle 304L 3/16""x 2""x 2""x 20'",26,67.0,67.0,8633.25008
PIPE 316L 1.5 SC80 WLD X,"Pipe 316L 1.5"" Sch80 Welded",26,21.0,21.0,1939.9099999999999
CPLG SA105 2 3000 FULL THRD,"Coupling 105 2""3000 Full Th",26,39.0,37.0,484.1680000000004
GASKET RING 1/8X20 150#,"Gasket Ring 1/8""x20"" 150#",26,28.0,26.0,4325.2
FLAT 304L 1/2 X 3 X 12',"Flat Stk 304L 1/2""x 3""x 12'",26,73.5,75.0,8242.5091
PIPE 304L 4 SC80 WLD X,"Pipe 304L 4"" Sch80 Welded",25,24.0,23.33,9822.050000000001
"FLANGE SA105 6""150 BLIND","Flange SA105 6"" 150# BLIND",25,35.0,35.0,951.7679999999998
FLAT 304L 1/4 X 4 X 12',"Flat Stk 304L 1/4""x 4""x 12'",25,135.0,131.0,8924.94025
"FLANGE 304L 10""150 WD NK","Flange 304L 10"" 150# WD NK",25,36.0,34.0,10820.719999999996
PIPE SA106 1 SC40ST  X,"Pipe SA106 1"" Sch40ST",25,11.0,11.0,438.18000000000006
PLT SA36-1/4 X 72 X 240,"Plate SA36- 1/4""x72""x240""",24,44.00000000000001,42.0,26567.2902
PLT SA36-1/4 X 96 X 240,"Plate SA36- 1/4""x96""x240""",24,62.0,62.0,41839.71115
"FLANGE SA105 4""150 BLIND","Flange SA105 4"" 150# BLIND",24,30.0,30.0,694.2970000000001
NUT SA194-8M 3/4 HH,"Nut SA194-8M 3/4"" HH",24,620.0,620.0,912.03168
ELBOW 316L 4 SCH40 90 WLD,"Elbow 316L 4"" Sch40 90 Weld",24,32.0,30.0,1220.5199999999998
NUT SA325 PLATED 5/8 HH,"Nut Sa325 Plated 5/8"" HH",24,243.0,231.0,59.59284
NUT 2H P 1.125 HH,"Nut 2H Plated 1.125"" HH",24,954.0,954.0,1815.9895999999997
PLT SA516-3/8 X 120 X,"Plate SA516- 3/8""x120""x",24,18.999999999999986,18.999999999999986,99774.67998000006
"FLANGE 304L 20""150 RFSO","Flange 304L 20"" 150# RFSO",24,25.0,24.0,21837.9
