Job,Customer,Description,Status,Order_Date,Type,Est_Total_Hrs,Act_Total_Hrs,Total_Price
25-265,VERTCORP,BUFFER TANK 142 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-266,VERTCORP,BUFFER TANK 143 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-267,VERTCORP,BUFFER TANK 144 OF 224,Active,00:00.0,Regular,74,0.5,20500
25-268,VERTCORP,BUFFER TANK 145 OF 224,Active,00:00.0,Regular,74,0,20500
25-269,VERTCORP,BUFFER TANK 146 OF 224,Active,00:00.0,Regular,74,0,20500
25-270,VERTCORP,BUFFER TANK 147 OF 224,Active,00:00.0,Regular,74,0,20500
25-271,VERTCORP,BUFFER TANK 148 OF 224,Active,00:00.0,Regular,74,0,20500
25-272,VERTCORP,BUFFER TANK 149 OF 224,Active,00:00.0,Regular,74,0,20500
25-330,VERTCORP,BUFFER TANK 207 OF 224,Active,00:00.0,Regular,74,2,20500
25-331,VERTCORP,BUFFER TANK 208 OF 224,Active,00:00.0,Regular,74,2,20500
25-332,VERTCORP,BUFFER TANK 209 OF 224,Active,00:00.0,Regular,74,2,20500
25-333,VERTCORP,BUFFER TANK 210 OF 224,Active,00:00.0,Regular,74,2,20500
25-334,VERTCORP,BUFFER TANK 211 OF 224,Active,00:00.0,Regular,74,2,20500
25-335,VERTCORP,BUFFER TANK 212 OF 224,Active,00:00.0,Regular,74,2,20500
25-336,VERTCORP,BUFFER TANK 213 OF 224,Active,00:00.0,Regular,74,2,20500
25-337,VERTCORP,BUFFER TANK 214 OF 224,Active,00:00.0,Regular,74,2,20500
25-338,VERTCORP,BUFFER TANK 215 OF 224,Active,00:00.0,Regular,74,2,20500
25-339,VERTCORP,BUFFER TANK 216 OF 224,Active,00:00.0,Regular,74,2,20500
25-340,VERTCORP,BUFFER TANK 217 OF 224,Active,00:00.0,Regular,74,1,20500
25-341,VERTCORP,BUFFER TANK 218 OF 224,Active,00:00.0,Regular,74,1,20500
25-342,VERTCORP,BUFFER TANK 219 OF 224,Active,00:00.0,Regular,74,1,20500
25-343,VERTCORP,BUFFER TANK 220 OF 224,Active,00:00.0,Regular,74,1,20500
25-175,VERTCORP,BUFFER TANK 52 OF 224,Active,00:00.0,Regular,74,7,20500
25-176,VERTCORP,BUFFER TANK 53 OF 224,Active,00:00.0,Regular,74,6.5,20500
25-152,VERTCORP,BUFFER TANK 29 OF 224,Active,00:00.0,Regular,74,18.5,20500
25-153,VERTCORP,BUFFER TANK 30 OF 224,Active,00:00.0,Regular,74,18,20500
25-148,VERTCORP,BUFFER TANK 25 OF 224,Active,00:00.0,Regular,74,34.5,20500
