Job,Customer,Description,Status,Status_Date,Est_Total_Hrs,Act_Total_Hrs,Total_Price,Last_Shipped_Date
25-131,VERTCORP,BUFFER TANK 8 OF 224,Active,00:00.0,74,69.5,20500,"Prior year, worked on in 2026"
25-130,VERTCORP,BUFFER TANK 7 OF 224,Active,00:00.0,74,68,20500,"Prior year, worked on in 2026"
25-133,VERTCORP,BUFFER TANK 10 OF 224,Active,00:00.0,74,53.25,20500,"Prior year, worked on in 2026"
25-309,VERTCORP,BUFFER TANK 186 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-310,VERTCORP,BUFFER TANK 187 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-311,VERTCORP,BUFFER TANK 188 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-312,VERTCORP,BUFFER TANK 189 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-313,VERTCORP,BUFFER TANK 190 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-314,VERTCORP,BUFFER TANK 191 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-315,VERTCORP,BUFFER TANK 192 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-316,VERTCORP,BUFFER TANK 193 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-317,VERTCORP,BUFFER TANK 194 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-318,VERTCORP,BUFFER TANK 195 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-319,VERTCORP,BUFFER TANK 196 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-320,VERTCORP,BUFFER TANK 197 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-321,VERTCORP,BUFFER TANK 198 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-322,VERTCORP,BUFFER TANK 199 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-323,VERTCORP,BUFFER TANK 200 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-324,VERTCORP,BUFFER TANK 201 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-325,VERTCORP,BUFFER TANK 202 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-326,VERTCORP,BUFFER TANK 203 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-327,VERTCORP,BUFFER TANK 204 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-328,VERTCORP,BUFFER TANK 205 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-329,VERTCORP,BUFFER TANK 206 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-243,VERTCORP,BUFFER TANK 120 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-244,VERTCORP,BUFFER TANK 121 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-245,VERTCORP,BUFFER TANK 122 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-246,VERTCORP,BUFFER TANK 123 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-247,VERTCORP,BUFFER TANK 124 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-248,VERTCORP,BUFFER TANK 125 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-249,VERTCORP,BUFFER TANK 126 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-250,VERTCORP,BUFFER TANK 127 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-251,VERTCORP,BUFFER TANK 128 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-252,VERTCORP,BUFFER TANK 129 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-254,VERTCORP,BUFFER TANK 131 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-255,VERTCORP,BUFFER TANK 132 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-257,VERTCORP,BUFFER TANK 134 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-258,VERTCORP,BUFFER TANK 135 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-259,VERTCORP,BUFFER TANK 136 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-260,VERTCORP,BUFFER TANK 137 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-261,VERTCORP,BUFFER TANK 138 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-262,VERTCORP,BUFFER TANK 139 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-263,VERTCORP,BUFFER TANK 140 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-264,VERTCORP,BUFFER TANK 141 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-253,VERTCORP,BUFFER TANK 130 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-256,VERTCORP,BUFFER TANK 133 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-265,VERTCORP,BUFFER TANK 142 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-266,VERTCORP,BUFFER TANK 143 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-267,VERTCORP,BUFFER TANK 144 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-330,VERTCORP,BUFFER TANK 207 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-331,VERTCORP,BUFFER TANK 208 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-332,VERTCORP,BUFFER TANK 209 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-333,VERTCORP,BUFFER TANK 210 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-334,VERTCORP,BUFFER TANK 211 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-335,VERTCORP,BUFFER TANK 212 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-336,VERTCORP,BUFFER TANK 213 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-337,VERTCORP,BUFFER TANK 214 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-338,VERTCORP,BUFFER TANK 215 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-339,VERTCORP,BUFFER TANK 216 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-340,VERTCORP,BUFFER TANK 217 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-341,VERTCORP,BUFFER TANK 218 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-342,VERTCORP,BUFFER TANK 219 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-343,VERTCORP,BUFFER TANK 220 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-175,VERTCORP,BUFFER TANK 52 OF 224,Active,00:00.0,74,7,20500,"Prior year, worked on in 2026"
25-176,VERTCORP,BUFFER TANK 53 OF 224,Active,00:00.0,74,6.5,20500,"Prior year, worked on in 2026"
25-152,VERTCORP,BUFFER TANK 29 OF 224,Active,00:00.0,74,18.5,20500,"Prior year, worked on in 2026"
25-153,VERTCORP,BUFFER TANK 30 OF 224,Active,00:00.0,74,18,20500,"Prior year, worked on in 2026"
25-148,VERTCORP,BUFFER TANK 25 OF 224,Active,00:00.0,74,34.5,20500,"Prior year, worked on in 2026"
25-177,VERTCORP,BUFFER TANK 54 OF 224,Active,00:00.0,74,6.5,20500,"Prior year, worked on in 2026"
25-178,VERTCORP,BUFFER TANK 55 OF 224,Active,00:00.0,74,5.75,20500,"Prior year, worked on in 2026"
25-179,VERTCORP,BUFFER TANK 56 OF 224,Active,00:00.0,74,9.5,20500,"Prior year, worked on in 2026"
25-180,VERTCORP,BUFFER TANK 57 OF 224,Active,00:00.0,74,5.5,20500,"Prior year, worked on in 2026"
25-181,VERTCORP,BUFFER TANK 58 OF 224,Active,00:00.0,74,5.5,20500,"Prior year, worked on in 2026"
25-150,VERTCORP,BUFFER TANK 27 OF 224,Active,00:00.0,74,31,20500,"Prior year, worked on in 2026"
25-155,VERTCORP,BUFFER TANK 32 OF 224,Active,00:00.0,74,17,20500,"Prior year, worked on in 2026"
25-156,VERTCORP,BUFFER TANK 33 OF 224,Active,00:00.0,74,15,20500,"Prior year, worked on in 2026"
25-174,VERTCORP,BUFFER TANK 51 OF 224,Active,00:00.0,74,18,20500,"Prior year, worked on in 2026"
25-154,VERTCORP,BUFFER TANK 31 OF 224,Active,00:00.0,74,30,20500,"Prior year, worked on in 2026"
25-165,VERTCORP,BUFFER TANK 42 OF 224,Active,00:00.0,74,13,20500,"Prior year, worked on in 2026"
25-166,VERTCORP,BUFFER TANK 43 OF 224,Active,00:00.0,74,13,20500,"Prior year, worked on in 2026"
25-167,VERTCORP,BUFFER TANK 44 OF 224,Active,00:00.0,74,13,20500,"Prior year, worked on in 2026"
25-168,VERTCORP,BUFFER TANK 45 OF 224,Active,00:00.0,74,13,20500,"Prior year, worked on in 2026"
25-169,VERTCORP,BUFFER TANK 46 OF 224,Active,00:00.0,74,23,20500,"Prior year, worked on in 2026"
25-151,VERTCORP,BUFFER TANK 28 OF 224,Active,00:00.0,74,20,20500,"Prior year, worked on in 2026"
25-159,VERTCORP,BUFFER TANK 36 OF 224,Active,00:00.0,74,19.5,20500,"Prior year, worked on in 2026"
25-344,VERTCORP,BUFFER TANK 221 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-345,VERTCORP,BUFFER TANK 222 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-346,VERTCORP,BUFFER TANK 223 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-184,VERTCORP,BUFFER TANK 61 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-185,VERTCORP,BUFFER TANK 62 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-186,VERTCORP,BUFFER TANK 63 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-187,VERTCORP,BUFFER TANK 64 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-188,VERTCORP,BUFFER TANK 65 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-189,VERTCORP,BUFFER TANK 66 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-190,VERTCORP,BUFFER TANK 67 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-191,VERTCORP,BUFFER TANK 68 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-192,VERTCORP,BUFFER TANK 69 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-193,VERTCORP,BUFFER TANK 70 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-194,VERTCORP,BUFFER TANK 71 OF 224,Active,00:00.0,74,2,20500,"Prior year, worked on in 2026"
25-195,VERTCORP,BUFFER TANK 72 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-196,VERTCORP,BUFFER TANK 73 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-197,VERTCORP,BUFFER TANK 74 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-198,VERTCORP,BUFFER TANK 75 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-199,VERTCORP,BUFFER TANK 76 OF 224,Active,00:00.0,74,2.5,20500,"Prior year, worked on in 2026"
25-200,VERTCORP,BUFFER TANK 77 OF 224,Active,00:00.0,74,2.5,20500,"Prior year, worked on in 2026"
25-201,VERTCORP,BUFFER TANK 78 OF 224,Active,00:00.0,74,2.5,20500,"Prior year, worked on in 2026"
25-157,VERTCORP,BUFFER TANK 34 OF 224,Active,00:00.0,74,13,20500,"Prior year, worked on in 2026"
25-158,VERTCORP,BUFFER TANK 35 OF 224,Active,00:00.0,74,12.75,20500,"Prior year, worked on in 2026"
25-202,VERTCORP,BUFFER TANK 79 OF 224,Active,00:00.0,74,2.75,20500,"Prior year, worked on in 2026"
25-203,VERTCORP,BUFFER TANK 80 OF 224,Active,00:00.0,74,2.75,20500,"Prior year, worked on in 2026"
25-160,VERTCORP,BUFFER TANK 37 OF 224,Active,00:00.0,74,13,20500,"Prior year, worked on in 2026"
25-161,VERTCORP,BUFFER TANK 38 OF 224,Active,00:00.0,74,16.5,20500,"Prior year, worked on in 2026"
25-162,VERTCORP,BUFFER TANK 39 OF 224,Active,00:00.0,74,15.5,20500,"Prior year, worked on in 2026"
25-163,VERTCORP,BUFFER TANK 40 OF 224,Active,00:00.0,74,16,20500,"Prior year, worked on in 2026"
25-204,VERTCORP,BUFFER TANK 81 OF 224,Active,00:00.0,74,2.5,20500,"Prior year, worked on in 2026"
25-205,VERTCORP,BUFFER TANK 82 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-206,VERTCORP,BUFFER TANK 83 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-207,VERTCORP,BUFFER TANK 84 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-208,VERTCORP,BUFFER TANK 85 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-209,VERTCORP,BUFFER TANK 86 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-210,VERTCORP,BUFFER TANK 87 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-211,VERTCORP,BUFFER TANK 88 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-212,VERTCORP,BUFFER TANK 89 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-213,VERTCORP,BUFFER TANK 90 OF 224,Active,00:00.0,74,1.5,20500,"Prior year, worked on in 2026"
25-182,VERTCORP,BUFFER TANK 59 OF 224,Active,00:00.0,74,3.5,20500,"Prior year, worked on in 2026"
25-183,VERTCORP,BUFFER TANK 60 OF 224,Active,00:00.0,74,2.5,20500,"Prior year, worked on in 2026"
25-274,VERTCORP,BUFFER TANK 151 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-275,VERTCORP,BUFFER TANK 152 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-276,VERTCORP,BUFFER TANK 153 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-277,VERTCORP,BUFFER TANK 154 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-278,VERTCORP,BUFFER TANK 155 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-279,VERTCORP,BUFFER TANK 156 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-280,VERTCORP,BUFFER TANK 157 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-281,VERTCORP,BUFFER TANK 158 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-282,VERTCORP,BUFFER TANK 159 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-283,VERTCORP,BUFFER TANK 160 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-284,VERTCORP,BUFFER TANK 161 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-285,VERTCORP,BUFFER TANK 162 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-286,VERTCORP,BUFFER TANK 163 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-287,VERTCORP,BUFFER TANK 164 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-288,VERTCORP,BUFFER TANK 165 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-289,VERTCORP,BUFFER TANK 166 OF 224,Active,00:00.0,74,1,20500,"Prior year, worked on in 2026"
25-290,VERTCORP,BUFFER TANK 167 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-291,VERTCORP,BUFFER TANK 168 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-292,VERTCORP,BUFFER TANK 169 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-293,VERTCORP,BUFFER TANK 170 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-294,VERTCORP,BUFFER TANK 171 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-295,VERTCORP,BUFFER TANK 172 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-214,VERTCORP,BUFFER TANK 91 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-216,VERTCORP,BUFFER TANK 93 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-217,VERTCORP,BUFFER TANK 94 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-218,VERTCORP,BUFFER TANK 95 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-219,VERTCORP,BUFFER TANK 96 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-220,VERTCORP,BUFFER TANK 97 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
25-221,VERTCORP,BUFFER TANK 98 OF 224,Active,00:00.0,74,0.5,20500,"Prior year, worked on in 2026"
