25-139,VERTCORP,BUFFER TANK 16 OF 224,Active,NULL,SCOTT,2026-03-20 08:13:19.000,2025-12-15 00:00:00.000
25-138,VERTCORP,BUFFER TANK 15 OF 224,Active,NULL,SCOTT,2026-03-20 08:13:18.000,2025-12-15 00:00:00.000
25-126,VERTCORP,BUFFER TANK 3 OF 224,Active,NULL,SCOTT,2026-03-20 08:13:18.000,2025-12-15 00:00:00.000
25-129,VERTCORP,BUFFER TANK 6 OF 224,Active,NULL,SCOTT,2026-03-20 08:13:18.000,2025-12-15 00:00:00.000
25-177,VERTCORP,BUFFER TANK 54 OF 224,Active,NULL,SCOTT,2026-03-20 07:47:08.000,2025-12-15 00:00:00.000
25-178,VERTCORP,BUFFER TANK 55 OF 224,Active,NULL,SCOTT,2026-03-20 07:47:08.000,2025-12-15 00:00:00.000
25-179,VERTCORP,BUFFER TANK 56 OF 224,Active,NULL,SCOTT,2026-03-20 07:47:08.000,2025-12-15 00:00:00.000
25-180,VERTCORP,BUFFER TANK 57 OF 224,Active,NULL,SCOTT,2026-03-20 07:47:08.000,2025-12-15 00:00:00.000
25-181,VERTCORP,BUFFER TANK 58 OF 224,Active,NULL,SCOTT,2026-03-20 07:47:08.000,2025-12-15 00:00:00.000
25-148,VERTCORP,BUFFER TANK 25 OF 224,Active,NULL,SCOTT,2026-03-20 07:41:53.000,2025-12-15 00:00:00.000
25-152,VERTCORP,BUFFER TANK 29 OF 224,Active,NULL,SCOTT,2026-03-20 07:39:08.000,2025-12-15 00:00:00.000
25-153,VERTCORP,BUFFER TANK 30 OF 224,Active,NULL,SCOTT,2026-03-20 07:39:08.000,2025-12-15 00:00:00.000
25-175,VERTCORP,BUFFER TANK 52 OF 224,Active,NULL,SCOTT,2026-03-20 07:39:07.000,2025-12-15 00:00:00.000
25-176,VERTCORP,BUFFER TANK 53 OF 224,Active,NULL,SCOTT,2026-03-20 07:39:07.000,2025-12-15 00:00:00.000
25-127,VERTCORP,BUFFER TANK 4 OF 224,Active,NULL,SCOTT,2026-03-20 07:34:29.000,2026-01-13 00:00:00.000
25-143,VERTCORP,BUFFER TANK 20 OF 224,Active,NULL,SCOTT,2026-03-20 07:34:29.000,2025-12-15 00:00:00.000
25-142,VERTCORP,BUFFER TANK 19 OF 224,Active,NULL,SCOTT,2026-03-20 07:34:28.000,2025-12-15 00:00:00.000
26-017,FLOQENGI,EPI TANK #1,Active,NULL,SHERRI,2026-03-19 15:24:24.000,2026-01-13 00:00:00.000
26-018,FLOQENGI,EPI TANK #2,Active,NULL,SHERRI,2026-03-19 15:24:24.000,2026-01-13 00:00:00.000
25-025,IRVCPROD,TAD FABRIC RELEASE BULK TANK,Complete,NULL,SHERRI,2026-03-19 15:15:43.000,2025-02-04 00:00:00.000
25-026,IRVCPROD,CREPING ADHESIVE BULK TANK,Complete,NULL,SHERRI,2026-03-19 15:15:43.000,2025-02-04 00:00:00.000
25-031,IRVCPROD,WET STRENGTH RESIN BULK STORAGE TK#1,Complete,NULL,SHERRI,2026-03-19 15:15:43.000,2025-02-04 00:00:00.000
25-032,IRVCPROD,WET STRENGTH RESIN BULK STORAGE TK#2,Complete,NULL,SHERRI,2026-03-19 15:15:43.000,2025-02-04 00:00:00.000
25-037,IRVCPROD,DRY STRENGTH BULK TANK,Complete,NULL,SHERRI,2026-03-19 15:15:43.000,2025-02-04 00:00:00.000
25-027,IRVCPROD,YANKEE MACHINE CHEST,Complete,NULL,SHERRI,2026-03-19 15:00:17.000,2025-02-04 00:00:00.000
25-028,IRVCPROD,CORE MACHINE CHEST,Complete,NULL,SHERRI,2026-03-19 15:00:17.000,2025-02-04 00:00:00.000
25-029,IRVCPROD,TAD MACHINE CHEST,Complete,NULL,SHERRI,2026-03-19 15:00:17.000,2025-02-04 00:00:00.000
25-089,VALMETIN,DISSOLVING TANK,Complete,NULL,SHERRI,2026-03-19 14:46:30.000,2025-08-25 00:00:00.000
25-055,AIRGASNITR,SST N20 REACTOR,Active,NULL,SHERRI,2026-03-19 11:54:08.000,2025-06-12 00:00:00.000
25-102,EPICSYST,T-101,Active,NULL,SHERRI,2026-03-19 11:53:15.000,2025-11-03 00:00:00.000
25-010,KIMBCLAR,220-TK-22112,Complete,NULL,SHERRI,2026-03-19 11:43:31.000,2025-01-28 00:00:00.000
