Work_Center,Description,job_count,mean_est_hrs,median_est_hrs,std_est_hrs,mean_act_hrs,median_act_hrs
FIT,Install Jacket Nozzle-Btm,9,5.444444444444445,6.0,1.4240006242195884,4.694444444444445,3.5
FIT,Cut & Fit Btm Jacket ,9,14.11111111111111,12.0,11.263263785915303,29.5,16.5
FIT,Install Internal Coil/Spt,8,25.25,22.5,14.10926747111375,21.6875,16.5
PRE FAB,Fab Internal Coil,8,52.875,48.0,34.04802280812877,64.15625,68.75
FIT,S/U and Build Sides,8,42.625,47.5,23.292779383932942,52.25,47.5
PRE FAB,Fab Internal Coil Support,8,8.0,8.0,3.251373336211726,8.4375,5.25
FIT,"L/O Skirt, B&C Holes",7,1.0,1.0,0.0,0.2857142857142857,0.0
FIT,Set Nzl/MW in Skirt-Tack,7,10.857142857142858,14.0,5.367450401216932,13.5,14.0
PRE FAB,"Skirt-BI, SQ, T&C",5,6.0,6.0,0.0,4.6,4.0
FIT,Weld Jacket Nozzles,5,4.8,3.0,2.949576240750525,2.6,2.5
PRE FAB,Form Baffles,5,3.6,3.0,1.816590212458495,2.6,2.0
PRE FAB,Roll Pipe-Internal Coil,5,44.0,20.0,54.05552700695832,64.25,16.5
PRE FAB,Roll Skirt Shells,5,4.0,4.0,0.0,2.8,3.0
PRE FAB,B&C Baffles,4,9.5,9.5,6.3508529610858835,3.0,4.0
FIT,Polish I/S Weld Seam-Shl,4,10.75,8.5,10.372238588334406,0.0625,0.0
FIT,Install Body Flg-Shell,4,3.5,3.5,2.8867513459481287,2.0,0.0
SHIPPING,Take Parts - Machine Shop,3,2.3333333333333335,2.0,1.5275252316519468,0.5,0.0
PRE FAB,Build Flanges,3,18.666666666666668,20.0,2.309401076758503,23.166666666666668,22.0
FIT,Install Body Flange - Top,3,3.3333333333333335,1.0,4.041451884327381,4.333333333333333,3.0
FIT,Grind I/S Weld Smooth-Shl,3,22.333333333333332,15.0,24.826061575153908,19.333333333333332,6.0
FIT,Weld Body Flg-Top W/C,3,5.0,4.0,2.6457513110645907,4.0,3.0
PRE FAB,Polish I/S Weld Seam-Btm,3,2.0,2.0,1.0,0.0,0.0
SHIPPING,P/U Parts - Machine Shop,3,2.3333333333333335,2.0,1.5275252316519468,1.0,0.0
PRE FAB,Polish I/S Weld Seam-Top,3,4.333333333333333,4.0,1.5275252316519465,0.0,0.0
FIT,Weld Body Flg Shell,2,3.5,3.5,0.7071067811865476,0.75,0.75
PRE FAB,Install Clad on Blind/Cov,2,13.0,13.0,9.899494936611665,8.0,8.0
FIT,Cut & Fit Btm Jacket,1,20.0,20.0,,15.5,15.5
FIT,Grind I/S Weld Smooth-Top,1,10.0,10.0,,5.5,5.5
FIT,Dye Pen Top,1,4.0,4.0,,4.0,4.0
FIT,Grind I/S Weld Smooth-Btm,1,1.0,1.0,,0.0,0.0
FIT,I&W Bottom Repads,1,2.0,2.0,,2.0,2.0
PRE FAB,Dye Pen Bottom Head,1,3.0,3.0,,0.0,0.0
PRE FAB,Grind I/S Weld Smooth-Top,1,8.0,8.0,,2.5,2.5
PRE FAB,Grind I/S Weld Smooth-Btm,1,1.0,1.0,,0.0,0.0
PRE FAB,Install Cladding on Flng,1,10.0,10.0,,11.0,11.0
PRE FAB,Roll Insulation Rings,1,2.0,2.0,,2.0,2.0
PRE FAB,Roll/Burn vacuum rings,1,0.0,0.0,,0.0,0.0
