Job,Sequence,Work_Center,Description,Est_Setup_Hrs,Est_Run_Hrs,Est_Total_Hrs,Act_Setup_Hrs,Act_Run_Hrs,Est_Setup_Labor,Est_Run_Labor,Act_Setup_Labor,Act_Run_Labor,Est_Labor_Burden,Act_Labor_Burden,Est_Machine_Burden,Act_Machine_Burden,Est_Total_Cost,Act_Total_Cost,Status,Run_Pct_Complete,Setup_Pct_Complete,Due_Date,Sched_Start,Sched_End,Actual_Start,Act_Total_Hrs
23-002,32,FIT,Weld Nozzles - Bot. Head,0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,72.0,138.0,165.6,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,3.0
23-002,33,FIT,Fit Bottom Head to Shell,0.0,4.0,4.0,0.0,6.0,0.0,80.0,0.0,123.0,184.0,282.9,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,6.0
23-002,34,FIT,Tack Shell Courses,0.0,3.0,3.0,0.0,4.0,0.0,60.0,0.0,120.0,138.0,184.0,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-28 06:00:00,4.0
23-002,35,FIT,Weld Inside Round Seams,0.0,6.0,6.0,0.0,11.5,0.0,120.0,0.0,367.25,276.0,726.8,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-31 06:00:00,11.5
23-002,36,FIT,"L/O Shell, B&C Holes",0.0,2.0,2.0,0.0,4.0,0.0,40.0,0.0,112.0,92.0,257.6,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-10 06:00:00,4.0
23-002,37,INSPECTION,QC Inspection - Internal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,38,FIT,Fit Top to Shell,0.0,4.0,4.0,0.0,7.5,0.0,80.0,0.0,332.5,184.0,603.75,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-04 06:00:00,7.5
23-002,39,FIT,Weld top to shell ,0.0,6.0,6.0,0.0,9.0,0.0,120.0,0.0,220.0,276.0,506.0,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-02 06:00:00,9.0
23-002,40,FIT,Weld all Outside Seams,0.0,14.0,14.0,0.0,16.5,0.0,280.0,0.0,615.5,644.0,966.0,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-04 06:00:00,16.5
23-002,41,MOVE TANK,Move Tank to Detail Rolls,0.0,2.0,2.0,0.0,2.0,0.0,40.0,0.0,70.0,92.0,161.0,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-08 06:00:00,2.0
23-002,42,FIT,Install Lift Lugs on Shl,0.0,2.0,2.0,0.0,2.0,0.0,40.0,0.0,70.0,92.0,161.0,0.0,0.0,0.0,0.0,C,50.0,0.0,,,,2023-08-07 06:00:00,2.0
23-002,43,FIT,Install Support Parts,0.0,20.0,20.0,0.0,12.0,0.0,400.0,0.0,420.0,920.0,966.0,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-07 06:00:00,12.0
23-002,44,FIT,Set Nozzles in Shell,0.0,5.0,5.0,0.0,9.0,0.0,100.0,0.0,336.5,230.0,557.75,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-11 06:00:00,9.0
23-002,45,FIT,Weld Shell Nozz & M/Ws,0.0,16.0,16.0,0.0,20.5,0.0,320.0,0.0,656.0,736.0,1265.0,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-11 06:00:00,20.5
23-002,46,FIT,"Fit Handrail, I&W Clips",0.0,8.0,8.0,0.0,4.0,0.0,160.0,0.0,113.0,368.0,259.9,0.0,0.0,0.0,0.0,C,50.0,0.0,,,,2023-07-27 06:00:00,4.0
23-002,47,FIT,"Fit Ladder, I&W Clips",0.0,10.0,10.0,0.0,11.0,0.0,200.0,0.0,287.0,460.0,660.1,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-10 06:00:00,11.0
23-002,48,FIT,"Fit Platform, I&W Clips",0.0,2.0,2.0,0.0,2.5,0.0,40.0,0.0,60.0,92.0,138.0,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-16 06:00:00,2.5
23-002,49,FINISHING,Install Name Tag,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,28.0,46.0,64.4,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-16 06:00:00,1.0
23-002,50,FIT,"Inspect Tank, Make Repair",0.0,1.0,1.0,0.0,4.0,0.0,20.0,0.0,112.0,46.0,257.6,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-15 06:00:00,4.0
