Attachment,4768,9,1,0,1,"AttachmentKey (int), Attachment (int), Owner_Type (varchar), Owner_ID (varchar), Attach_Path (varchar), Description (varchar), Print_Attachment (bit), Last_Updated (datetime), Attach_Type (varchar)"
GL_Entry,3094,11,1,0,0,"GL_Entry (varchar), Reference (varchar), Description (varchar), Entry_Type (smallint), Transaction_Date (datetime), Posted (bit), Period (varchar), Last_Updated (datetime), Type (varchar), Bank (varchar), Statement_Date (datetime)"
Address,2524,22,3,2,7,"AddressKey (int), Address (int), Customer (varchar), Vendor (varchar), Status (varchar), Type (varchar), Ship_Via (varchar), Ship_To_ID (varchar), Line1 (varchar), Line2 (varchar), City (varchar), State (varchar), Zip (varchar), Name (varchar), Country (varchar), Phone (varchar), Fax (varchar), Lead_Days (smallint), Last_Updated (datetime), Billable (bit), Shippable (bit), Cell_Phone (varchar)"
Invoice_Header,2100,35,3,2,2,"Document (varchar), Customer (varchar), Ship_To (int), Contact (int), Ship_Via (varchar), Terms (varchar), Tax_Code (varchar), Document_Date (datetime), AR_Description (varchar), Due_Date (datetime), Orig_Invoice_Amt (money), Open_Invoice_Amt (money), Open_Invoice_Amt_Curr_Per (money), Source (varchar), Type (varchar), Status (varchar), Period (varchar), Taxable_Amt (money), Sales_Tax_Rate1 (float), Sales_Tax_Rate2 (float), Sales_Tax_Rate3 (float), Sales_Tax_Rate4 (float), Currency_Conv_Rate (float), Trade_Currency (int), Fixed_Rate (bit), Trade_Date (datetime), Print_Date (datetime), EDI (bit), Comment (text), Last_Updated (datetime), Bill_To (int), User_Values (int), Invoiced_By (varchar), Journal_Entry (varchar), Paid_Date (datetime)"
Invoice_Receipt,2095,6,3,2,0,"Invoice (varchar), Receipt (varchar), Amount_Applied (money), Last_Updated (datetime), Invoice_Receipt (varchar), Application_Type (smallint)"
Receipt,1946,19,2,1,1,"Receipt (varchar), Customer (varchar), Bank (varchar), AR_Code (varchar), Reference (varchar), Reverse_Entry (bit), Type (varchar), Amount (money), Deposit_Date (datetime), Receipt_Date (datetime), Payer (varchar), Last_Updated (datetime), Period (varchar), GL_Account (varchar), Deposit (varchar), Customer_Receipt (varchar), Note_Text (text), Net1TransationID (varchar), Contact (int)"
Job,1770,96,5,4,6,"Job (varchar), Sales_Rep (varchar), Customer (varchar), Ship_To (int), User_Values (int), Quote (varchar), Contact (int), Ship_Via (varchar), Terms (varchar), Tax_Code (varchar), Sales_Code (varchar), Top_Lvl_Job (varchar), Type (varchar), Order_Date (datetime), Status (varchar), Status_Date (datetime), Part_Number (varchar), Rev (varchar), Description (varchar), Ext_Description (text), Drawing (varchar), Build_To_Stock (bit), Order_Quantity (int), Extra_Quantity (int), Pick_Quantity (int), Make_Quantity (int), Split_Quantity (int), Completed_Quantity (int), Shipped_Quantity (int), FG_Transfer_Qty (int), Returned_Quantity (int), In_Production_Quantity (int), Assembly_Level (smallint), Certs_Required (bit), Time_And_Materials (bit), Open_Operations (smallint), Scrap_Pct (float), Est_Scrap_Qty (int), Est_Rem_Hrs (float), Est_Total_Hrs (float), Est_Labor (money), Est_Material (money), Est_Service (money), Est_Labor_Burden (money), Est_Machine_Burden (money), Est_GA_Burden (money), Act_Revenue (money), Act_Scrap_Quantity (int), Act_Total_Hrs (float), Act_Labor (money), Act_Material (money), Act_Service (money), Act_Labor_Burden (money), Act_Machine_Burden (money), Act_GA_Burden (money), Priority (smallint), Unit_Price (float), Total_Price (money), Price_UofM (varchar), Currency_Conv_Rate (float), Trade_Currency (int), Fixed_Rate (bit), Trade_Date (datetime), Commission_Pct (float), Customer_PO (varchar), Customer_PO_LN (varchar), Sched_End (datetime), Sched_Start (datetime), Quantity_Per (float), Profit_Pct (float), Labor_Markup_Pct (float), Mat_Markup_Pct (float), Serv_Markup_Pct (float), Labor_Burden_Markup_Pct (float), Machine_Burden_Markup_Pct (float), GA_Burden_Markup_Pct (float), Lead_Days (smallint), Profit_Markup (varchar), Prepaid_Amt (money), Split_To_Job (bit), Note_Text (text), Comment (text), Last_Updated (datetime), Order_Unit (varchar), Price_Unit_Conv (float), Holder_ID (varchar), Source (varchar), Order_Taken_By (varchar), Plan_Modified (bit), ObjectID (uniqueidentifier), Released_Date (datetime), Prepaid_Tax_Amount (money), Prepaid_Trade_Amt (money), Last_Updated_By (varchar), CommissionIncluded (bit), Revision (varchar)"
Packlist_Detail,1570,36,2,1,0,"Packlist_DetailKey (int), Packlist_Detail (int), Packlist (varchar), Job (varchar), Job_Operation (int), Material_Trans (int), SO_Detail (int), Invoice_Line (varchar), PO_Number (varchar), Due_Date (datetime), Original_Packlist (int), Reopen_Delivery (bit), Tracking_Nbr (varchar), Unit_Price (float), Price_UofM (varchar), Quantity (int), Promised_Qty (float), Backorder_Qty (float), Instructions (text), Note_Text (text), Last_Updated (datetime), Order_Unit (varchar), Price_Unit_Conv (float), Freight_Amt (float), BOL_Comments (text), Cartons (int), Hazardous_Material (bit), NMFC_Code (varchar), Pallets (int), Weight (float), Freight_Class (varchar), ObjectID (uniqueidentifier), Job_Operation_OID (uniqueidentifier), PO_Header_OID (uniqueidentifier), Packlist_OID (uniqueidentifier), Lot (varchar)"
Deposit,1447,12,1,0,0,"Deposit (varchar), Bank (varchar), Status (varchar), Deposit_Date (datetime), Statement_Date (datetime), Trade_Currency (int), Currency_Conv_Rate (float), Trade_Date (datetime), Fixed_Rate (bit), Base_Amount (float), Trade_Amount (float), Last_Updated (datetime)"
Delivery,1344,26,2,1,0,"DeliveryKey (int), Delivery (int), Packlist (varchar), Job (varchar), Invoice (varchar), CrMemo (varchar), Invoice_Line (varchar), CrMemo_Line (varchar), SO_Detail (int), Requested_Date (datetime), Promised_Date (datetime), Shipped_Date (datetime), Invoice_Date (datetime), Returned_Date (datetime), CrMemo_Date (datetime), Promised_Quantity (int), Shipped_Quantity (int), Remaining_Quantity (int), Returned_Quantity (int), NCP_Quantity (int), Return_Document (varchar), Comment (text), Last_Updated (datetime), ObjectID (uniqueidentifier), Job_OID (uniqueidentifier), Last_Updated_By (varchar)"
