P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-13-R1.dwg,Model,1/8/2026 11:30:52 AM, ,Brother HL-L2460DW,Letter,1:26.9063,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-11-R2 AS BUILT.dwg,Model,1/22/2026 2:54:25 PM, ,Brother HL-L2460DW,Letter,1:29.2502,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-11-R2 AS BUILT.dwg,Model,1/22/2026 2:55:06 PM, ,Brother HL-L2460DW,Letter,1:10.9727,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-1-R2 AS BUILT.dwg,Model,1/22/2026 2:57:13 PM, ,Brother HL-L2460DW,Letter,1:4.38781,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-10-R1.dwg,Model,1/22/2026 3:02:12 PM, ,Brother HL-L2460DW,Letter,1:10.9582,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-9-R1.dwg,Model,2/9/2026 8:00:31 AM, ,Brother HL-L2460DW,Letter,1:1.98563,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-7-R1.dwg,Model,2/11/2026 10:08:42 AM, ,Brother HL-L2460DW,Letter,1:44.5026,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-2-R2 AS BUILT.dwg,Model,2/13/2026 9:59:21 AM, ,Brother HL-L2460DW,Letter,1:39.9673,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-2-R2 AS BUILT.dwg,Model,2/13/2026 9:59:55 AM, ,Brother HL-L2460DW,Letter,1:39.9673,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-7-R1.dwg,Model,2/23/2026 9:41:57 AM, ,TOSHIBA e-STUDIO3515AC-13670469,Tabloid,1:48.777,
